files=30
entries=1148
kind_counts={'claim': 5, 'configuration': 1, 'context': 5, 'endmodule': 33, 'imports': 95, 'module': 33, 'requires': 29, 'rule': 714, 'syntax': 233}
disposition_counts={'DEFINITIONAL_EQUATION_REVIEWED_SOUND_ON_GUARDED_DOMAIN': 16, 'DERIVED_SORT_LEMMA_REVIEWED_SOUND': 1, 'FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM': 170, 'FIXED_DECLARATION_USED_AND_REVIEWED': 58, 'FIXED_EVALUATION_CONTEXT_REVIEWED_ON_INTENDED_PATH': 4, 'FIXED_RULE_REVIEWED_SOUND_ON_INTENDED_INT_LIST_PATH': 99, 'NO_INTENDED_PATH_MATCH;UNREACHED_CONTEXT': 1, 'NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED': 596, 'OPERATIONAL_BRIDGE_SEPARATE_CONNECTION_PROVED': 2, 'POSITIVE_REACHABILITY_CLAIM_REVIEWED': 5, 'PROOF_LOCAL_DECLARATION_REVIEWED': 6, 'PROOF_MODULE_WIRING_REVIEWED': 31, 'SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED': 159}
opaque_or_no_evaluators=22
total_declarations=113
functional_declarations=0
simplification_rules=1
priority_entries=47

ID	FILE	LINE	KIND	ATTRIBUTES	DISPOSITION	BLOCK_SHA256	NORMALIZED_SOURCE
I0001	semantics.k	34	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	bd63dc2187bec52366768ae5e226469b8a2ad2c4c545712a0aa741516c9edc32	requires "semantics/syntax.k"
I0002	semantics.k	35	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	8224539e3a3db217e66bd2a98ec63461834dc106ed2a29c0444f710fefda65f8	requires "semantics/core.k"
I0003	semantics.k	36	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	1e5b8702816aaf910a96fba0d81db1abbb6b851cb951d2599f700d2bc99dc68d	requires "semantics/iter.k"
I0004	semantics.k	37	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	aa5f663a5d1a12851ffd9c30d8f2ea8d3a5f525e2d67b7d0d58f7a8872201e30	requires "semantics/range.k"
I0005	semantics.k	38	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	b194c4171e7ae0db64f5e70592f533a037cd2209b2efbffdbdce3f961c1ba8a3	requires "semantics/operators.k"
I0006	semantics.k	39	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	821ae9d706d11a65db65080f76bf3791956656836d0cd541a1ce2c7a7c0fc866	requires "semantics/int.k"
I0007	semantics.k	40	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4486f908787bb0107a24b945f3cc04fd35649f6fc896ddfb8287e00541fb24d2	requires "semantics/bool.k"
I0008	semantics.k	41	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	c686ca866c6c4244284f9c6fee5b4d3f0651dfee6f3b7caffa7acd081eedbf37	requires "semantics/float.k"
I0009	semantics.k	42	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3e6d049d0d07149d9b7da70a46f30478e3abc80a22c29d1bae5e92eb299269e5	requires "semantics/str.k"
I0010	semantics.k	43	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	28167624a9874cf0814cc078c343db574329406ffd94ef33c6a15b3199409955	requires "semantics/set.k"
