index	lines	source_rule_id	independent_class	judgment
0	25-25	rule-66cf82d7237685a06ca264938d829ef692b6502a47052bc8b2f6955fe66a6b93	DEFINITION	numericVals empty-sequence base equation.
1	26-27	rule-e9fc08fe6f0ef484c171a413dc9c554c9e1cb235e2a13e54d0b99e027be012c6	DEFINITION	numericVals structural recurrence over the ValSeq tail.
2	30-30	rule-05f070d41939b56798e284af83a3e82bf4d5f6d0664fcca2e436614ee08ee58b	DEFINITION	dtd empty-sequence summary base.
3	31-32	rule-091a4aebff684b5edd2fda9f704a6dcd74b9e0ee75b759c08524d9372c9492ae	DEFINITION	dtd static-Int structural recurrence.
4	33-33	rule-02f1cd1ee63740c19aa3424d09cc566b2276808d9227302e4960c6cdf31c1498	DEFINITION	dtd static-Float structural recurrence.
5	34-34	rule-4e0a1617be504700d11652945bd8b5943571997cdfaf10f58ecb4a649fdddd06	DEFINITION	dtd owise structural case completes the named summary on other Val heads.
6	35-38	rule-04549f60991829d3658a3f2aa1db8529f345e1f464cd668bbe8ba2f031f4ed18	DOMAIN_LEMMA	Guarded symbolic-Val restatement of the static-Int recurrence; simplification fact, not separately proved first.
7	39-41	rule-663dfaf9b65e6ba3e1928de01c21ec78aeceec06ef94896d881e0da14372c17c	DOMAIN_LEMMA	Guarded symbolic-Val restatement of the static-Float recurrence; simplification fact, not separately proved first.
8	43-47	rule-2bac10cc0d5570f5c4119daf459bab1b743889d5580499871f03e1f76e2a0072	DEFINITION	Defines the oddIntSquare named summary used by dtd and the postcondition.
9	51-51	rule-103bd3ccf8069de7e32015f61cbdcfcd2fea57ae81cf1fc97f11833c3e79466d	DEFINITION	lastNumber empty-tail base equation.
10	52-53	rule-6ca9bcdd5aaae2268b88e058ecf722a3c6d99c23f29b1facbeace313029cc1c2	DEFINITION	lastNumber structural recurrence tracking the loop-target binding.
11	57-57	rule-9e2ee339875a1d59e60ef1a09d50617f8c526c60d097a2a486ebed2a648461c5	DEFINITION	Defines the named definedProjectInt guard by the fixed Int sort predicate.
12	58-60	rule-0312858a8718cb93d212cdb7b679a2875534dc14191dff8edf7bccf9a96d8b43	DOMAIN_LEMMA	Characterizes definedness of the built-in Int projection; simplification fact, not a definition or prior Stage-1 theorem.
13	61-63	rule-ced5adecb9e0d364813f64698375904533f4eeac50b93f2799465c7b5fead6d0	DEFINITION	Guarded defining orientation of the projectIntTotal named proof term.
14	64-66	rule-22fa1e67d4a05b75b5a578312159b0a4e049b756806628df2540b007f43bcb5d	DEFINITION	Reverse symbolic orientation of the same guarded alias definition; it does not add a new value equation.
15	67-67	rule-7191d5f6c9756673cca00b440958222ca4d2d1d3d4e18cbc994313a0f4340442	DEFINITION	Defines projectIntTotal on the Int subsort as identity.
16	68-70	rule-9e1486b6d25b62bd0949213fd58d7aac97ed89cc3e87b8c5063f915d1d6b7081	DOMAIN_LEMMA	Idempotence is an extra simplification property of projectIntTotal and was not separately proved first.
17	71-71	rule-e0cb703bc5de627528842cad9c26edce5c5ccfba97a015cd76b3ffa227523e1e	DOMAIN_LEMMA	Relates fixed-semantics isinstance helper isIntV to K Int-sort observation; no prior exact proof.
18	72-75	rule-835c8361eaef00ebfc5566f8c0006f3fcda1381710a9abd174ceefbad2243388	DOMAIN_LEMMA	Guarded symbolic-Val comparison-dispatch simplification used by number > 0.
19	76-79	rule-2dd919bc012c069b3c8fffc3cbdb9c9070068f0c8eca42acdc492a3b3db5315a	DOMAIN_LEMMA	Guarded symbolic-Val modulo-dispatch simplification used by number % 2.
20	80-83	rule-c3d4bdc727e825560b34733f473eca514ee7daf812bf838c8e485dc9499825dc	DOMAIN_LEMMA	Guarded symbolic-Val multiplication-dispatch simplification used by number * number.
21	85-95	rule-1779f1a9c768fbefeb2ffd12021c24568c63cc6be52362c9e4b2905a88ebdbce	DEFINITION	Compile-time macro equation naming the exact nested source loop body.
22	97-101	rule-868c5f6cd2b1bc2cd603649f9d6fa81ce150a47b98260c1f12a5dd85c34b916d	DEFINITION	Compile-time macro equation naming the exact source function body.
