id	file	line	module	kind	class	attributes	total	functional	text
1	reference-semantics/semantics/assert.k	6	MPY-ASSERT	rule	ordinary_rule		no	no	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	reference-semantics/semantics/assert.k	8	MPY-ASSERT	rule	ordinary_rule		no	no	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	reference-semantics/semantics/assert.k	13	MPY-ASSERT	rule	priority_rule	priority(40)	no	no	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	reference-semantics/semantics/bool.k	8	MPY-BOOL	rule	ordinary_rule		no	no	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	reference-semantics/semantics/bool.k	10	MPY-BOOL	rule	ordinary_rule		no	no	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	reference-semantics/semantics/bool.k	11	MPY-BOOL	rule	ordinary_rule		no	no	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue"
7	reference-semantics/semantics/bool.k	16	MPY-BOOL	context	context		no	no	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	reference-semantics/semantics/bool.k	17	MPY-BOOL	rule	ordinary_rule		no	no	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	reference-semantics/semantics/bool.k	18	MPY-BOOL	rule	ordinary_rule		no	no	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
10	reference-semantics/semantics/bool.k	20	MPY-BOOL	rule	ordinary_rule		no	no	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
11	reference-semantics/semantics/bool.k	22	MPY-BOOL	rule	ordinary_rule		no	no	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
12	reference-semantics/semantics/bool.k	24	MPY-BOOL	rule	ordinary_rule		no	no	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure"
13	reference-semantics/semantics/bool.k	29	MPY-BOOL	rule	priority_rule	priority(40)	no	no	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	reference-semantics/semantics/bool.k	31	MPY-BOOL	rule	priority_rule	priority(40)	no	no	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
15	reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	priority_rule	priority(40)	no	no	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
16	reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	priority_rule	priority(40)	no	no	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
