id,path,line,kind,attributes,disposition,rationale
K0001,/reference/reference-semantics/semantics.k,34,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0002,/reference/reference-semantics/semantics.k,35,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0003,/reference/reference-semantics/semantics.k,36,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0004,/reference/reference-semantics/semantics.k,37,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0005,/reference/reference-semantics/semantics.k,38,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0006,/reference/reference-semantics/semantics.k,39,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0007,/reference/reference-semantics/semantics.k,40,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0008,/reference/reference-semantics/semantics.k,41,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0009,/reference/reference-semantics/semantics.k,42,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0010,/reference/reference-semantics/semantics.k,43,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0011,/reference/reference-semantics/semantics.k,44,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0012,/reference/reference-semantics/semantics.k,45,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0013,/reference/reference-semantics/semantics.k,46,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0014,/reference/reference-semantics/semantics.k,47,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0015,/reference/reference-semantics/semantics.k,48,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0016,/reference/reference-semantics/semantics.k,49,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0017,/reference/reference-semantics/semantics.k,50,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0018,/reference/reference-semantics/semantics.k,51,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0019,/reference/reference-semantics/semantics.k,52,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0020,/reference/reference-semantics/semantics.k,53,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0021,/reference/reference-semantics/semantics.k,54,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0022,/reference/reference-semantics/semantics.k,55,requires,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0023,/reference/reference-semantics/semantics.k,56,requires,concrete,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0024,/reference/reference-semantics/semantics.k,58,module,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0025,/reference/reference-semantics/semantics.k,59,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0026,/reference/reference-semantics/semantics.k,60,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0027,/reference/reference-semantics/semantics.k,61,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0028,/reference/reference-semantics/semantics.k,62,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0029,/reference/reference-semantics/semantics.k,63,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0030,/reference/reference-semantics/semantics.k,64,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
K0031,/reference/reference-semantics/semantics.k,65,imports,—,STRUCTURAL_FIXED_MODULE,Assembly/import/require/module delimiter for the supplied semantics.
