file	line	kind	attributes	status	rationale
reference-semantics/semantics/assert.k	6	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/assert.k	8	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/assert.k	13	rule	priority	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	8	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	10	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	11	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	16	context	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	17	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	18	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	20	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	22	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	24	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	29	rule	priority	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	31	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	35	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	39	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/bool.k	43	rule	none	ACCEPT_TRUSTED_FIXED_UNUSED	Launcher-trusted supplied-semantics declaration; byte-identical to the baseline and unreachable from the submitted program.
reference-semantics/semantics/builtins.k	17	syntax	function	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	20	syntax	function	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	21	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	22	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	23	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	24	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	25	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	26	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	32	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	33	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	34	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	35	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	36	syntax	function, total	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	37	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	38	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	41	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	44	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	47	syntax	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	48	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	49	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	50	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	54	syntax	function	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	55	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	56	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	59	syntax	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	60	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	61	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	62	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	64	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	67	syntax	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	68	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	69	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	70	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	72	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	76	syntax	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	77	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	78	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	80	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	81	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	82	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	86	syntax	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	87	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	88	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	90	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	91	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	92	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	97	syntax	function	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	98	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	99	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	100	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	102	syntax	function	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	103	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	104	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	105	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	108	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	111	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	114	syntax	function, total	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	115	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	116	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	117	syntax	function, total	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	118	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	119	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	124	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	126	syntax	function, total	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	127	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	128	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	132	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	134	syntax	function, total	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	135	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	136	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	137	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	140	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	143	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	144	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
reference-semantics/semantics/builtins.k	148	rule	none	ACCEPT_TRUSTED_FIXED_MATERIAL	Launcher-trusted supplied-semantics declaration; byte-identical to the mounted baseline and included in the material execution-path review.
