id	file	line	kind	attributes	disposition	reason
K0001	/reference/reference-semantics/semantics.k	34	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0002	/reference/reference-semantics/semantics.k	35	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0003	/reference/reference-semantics/semantics.k	36	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0004	/reference/reference-semantics/semantics.k	37	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0005	/reference/reference-semantics/semantics.k	38	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0006	/reference/reference-semantics/semantics.k	39	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0007	/reference/reference-semantics/semantics.k	40	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0008	/reference/reference-semantics/semantics.k	41	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0009	/reference/reference-semantics/semantics.k	42	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0010	/reference/reference-semantics/semantics.k	43	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0011	/reference/reference-semantics/semantics.k	44	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0012	/reference/reference-semantics/semantics.k	45	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0013	/reference/reference-semantics/semantics.k	46	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0014	/reference/reference-semantics/semantics.k	47	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0015	/reference/reference-semantics/semantics.k	48	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0016	/reference/reference-semantics/semantics.k	49	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0017	/reference/reference-semantics/semantics.k	50	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0018	/reference/reference-semantics/semantics.k	51	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0019	/reference/reference-semantics/semantics.k	52	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0020	/reference/reference-semantics/semantics.k	53	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
