COMMAND: /audit-output/evidence/static/inventory_k.py
file	line	kind	attributes	decision	statement
reference-semantics/semantics/assert.k	6	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k	8	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
reference-semantics/semantics/assert.k	13	rule	priority	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyUn("not", V:Val) => notBool truthy(V) 
reference-semantics/semantics/bool.k	10	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // bool is a subtype of int: a Bool compared with an Int promotes to 0/1 and // re-dispatches to the Int comparison cases (True==1, False==0, True<2, ...). // The == / != Bool x Bool cases above are kept; only the four ordering ops are // promoted for Bool x Bool (to avoid duplicating the two rules above).
reference-semantics/semantics/bool.k	17	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I)
reference-semantics/semantics/bool.k	19	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B))
reference-semantics/semantics/bool.k	21	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2))
reference-semantics/semantics/bool.k	27	context	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	28	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	29	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	31	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	33	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	35	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	40	rule	priority	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	42	rule	-	FIXED_UNUSED_NO_REACHABLE_LHS_IN_TARGET	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
