# Exhaustive K source inventory
# COMMAND: python3 /audit-output/evidence/k_inventory.py
id	file	module	line	kind	class	relevance	attributes	audit_decision	sentence
K0001	semantics/assert.k	MPY-ASSERT	6	rule	OPERATIONAL_RULE	INERT_FOR_TARGET_PROOF		FIXED_SUPPLIED_RULE; syntactically unreachable from target term	rule <k> Assert(V:Val) => .K ... </k>
K0002	semantics/assert.k	MPY-ASSERT	8	rule	OPERATIONAL_RULE	INERT_FOR_TARGET_PROOF		FIXED_SUPPLIED_RULE; syntactically unreachable from target term	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
K0003	semantics/assert.k	MPY-ASSERT	13	rule	PRIORITY_OPERATIONAL_RULE	INERT_FOR_TARGET_PROOF	priority(40)	FIXED_SUPPLIED_RULE; syntactically unreachable from target term	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	semantics/bool.k	MPY-BOOL	8	rule	FUNCTION_OR_MACRO_EQUATION	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	semantics/bool.k	MPY-BOOL	10	rule	FUNCTION_OR_MACRO_EQUATION	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	semantics/bool.k	MPY-BOOL	11	rule	FUNCTION_OR_MACRO_EQUATION	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	semantics/bool.k	MPY-BOOL	16	context	EVALUATION_CONTEXT	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	semantics/bool.k	MPY-BOOL	17	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	semantics/bool.k	MPY-BOOL	18	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
K0010	semantics/bool.k	MPY-BOOL	20	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K0011	semantics/bool.k	MPY-BOOL	22	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K0012	semantics/bool.k	MPY-BOOL	24	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
K0013	semantics/bool.k	MPY-BOOL	29	rule	PRIORITY_OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH	priority(40)	FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	semantics/bool.k	MPY-BOOL	31	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0015	semantics/bool.k	MPY-BOOL	35	rule	OPERATIONAL_RULE	USED_PATH_OR_SHARED_DISPATCH		FIXED_SUPPLIED_RULE; used alternative/context checked; other alternatives unreachable	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
