id	file	line	kind	target_relevance	review_decision	declaration
1	reference-semantics/semantics.k	34	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/syntax.k"""
2	reference-semantics/semantics.k	35	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/core.k"""
3	reference-semantics/semantics.k	36	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/iter.k"""
4	reference-semantics/semantics.k	37	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/range.k"""
5	reference-semantics/semantics.k	38	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/operators.k"""
6	reference-semantics/semantics.k	39	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/int.k"""
7	reference-semantics/semantics.k	40	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/bool.k"""
8	reference-semantics/semantics.k	41	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/float.k"""
9	reference-semantics/semantics.k	42	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/str.k"""
10	reference-semantics/semantics.k	43	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/set.k"""
11	reference-semantics/semantics.k	44	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/list.k"""
12	reference-semantics/semantics.k	45	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/tuple.k"""
13	reference-semantics/semantics.k	46	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/subscript.k"""
14	reference-semantics/semantics.k	47	requires	IMPORTED_UNUSED	IMPORTED_BUT_TARGET_INERT: constructor/symbol is not reachable from solution.mpy or proof summaries and cannot affect target closure; attrs=-	"requires ""semantics/comprehension.k"""
