entry_kind	source	line	attributes	disposition	declaration
rule	reference-semantics/semantics/assert.k	6	-	SUPPLIED_UNUSED_PATH	rule <k> Assert(V:Val) => .K ... </k>
rule	reference-semantics/semantics/assert.k	8	-	SUPPLIED_UNUSED_PATH	rule <k> Assert(V:Val) ~> _ => .K </k>
rule	reference-semantics/semantics/assert.k	13	priority	SUPPLIED_UNUSED_PATH	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
rule	reference-semantics/semantics/bool.k	8	-	SUPPLIED_USED_PATH_REVIEWED	rule applyUn("not", V:Val) => notBool truthy(V)
rule	reference-semantics/semantics/bool.k	10	-	SUPPLIED_USED_PATH_REVIEWED	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
rule	reference-semantics/semantics/bool.k	11	-	SUPPLIED_USED_PATH_REVIEWED	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
context	reference-semantics/semantics/bool.k	16	-	SUPPLIED_USED_PATH_REVIEWED	context BoolOp(_, (HOLE:Expr, _:Exprs))
rule	reference-semantics/semantics/bool.k	17	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
rule	reference-semantics/semantics/bool.k	18	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
rule	reference-semantics/semantics/bool.k	20	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
rule	reference-semantics/semantics/bool.k	22	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
rule	reference-semantics/semantics/bool.k	24	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
rule	reference-semantics/semantics/bool.k	29	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
rule	reference-semantics/semantics/bool.k	31	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
rule	reference-semantics/semantics/bool.k	35	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
rule	reference-semantics/semantics/bool.k	39	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
rule	reference-semantics/semantics/bool.k	43	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
syntax	reference-semantics/semantics/builtins.k	17	function	SUPPLIED_USED_PATH_REVIEWED	syntax Val ::= applyBuiltin(String, Vals) [function]
syntax	reference-semantics/semantics/builtins.k	20	function	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= seqLen(Val) [function]
rule	reference-semantics/semantics/builtins.k	21	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
rule	reference-semantics/semantics/builtins.k	22	-	SUPPLIED_USED_PATH_REVIEWED	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
rule	reference-semantics/semantics/builtins.k	23	-	SUPPLIED_USED_PATH_REVIEWED	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
rule	reference-semantics/semantics/builtins.k	24	-	SUPPLIED_USED_PATH_REVIEWED	rule seqLen(str(IS:IntSeq)) => isLen(IS)
rule	reference-semantics/semantics/builtins.k	25	-	SUPPLIED_USED_PATH_REVIEWED	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
rule	reference-semantics/semantics/builtins.k	26	-	SUPPLIED_USED_PATH_REVIEWED	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
rule	reference-semantics/semantics/builtins.k	32	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
rule	reference-semantics/semantics/builtins.k	33	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
rule	reference-semantics/semantics/builtins.k	34	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
rule	reference-semantics/semantics/builtins.k	35	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
syntax	reference-semantics/semantics/builtins.k	36	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax ValSeq ::= charsOf(IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	37	-	SUPPLIED_USED_PATH_REVIEWED	rule charsOf(.IntSeq) => .ValSeq
rule	reference-semantics/semantics/builtins.k	38	-	SUPPLIED_USED_PATH_REVIEWED	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
rule	reference-semantics/semantics/builtins.k	41	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
rule	reference-semantics/semantics/builtins.k	44	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
syntax	reference-semantics/semantics/builtins.k	47	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
rule	reference-semantics/semantics/builtins.k	48	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
rule	reference-semantics/semantics/builtins.k	49	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
rule	reference-semantics/semantics/builtins.k	50	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)
syntax	reference-semantics/semantics/builtins.k	54	function	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= intOf(Val) [function]
rule	reference-semantics/semantics/builtins.k	55	-	SUPPLIED_USED_PATH_REVIEWED	rule intOf(I:Int) => I
rule	reference-semantics/semantics/builtins.k	56	-	SUPPLIED_USED_PATH_REVIEWED	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
syntax	reference-semantics/semantics/builtins.k	59	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #allAcc(Iterable) | "#allCont"
rule	reference-semantics/semantics/builtins.k	60	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
rule	reference-semantics/semantics/builtins.k	61	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #allCont => true ... </k>
rule	reference-semantics/semantics/builtins.k	62	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
rule	reference-semantics/semantics/builtins.k	64	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
syntax	reference-semantics/semantics/builtins.k	67	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
rule	reference-semantics/semantics/builtins.k	68	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
rule	reference-semantics/semantics/builtins.k	69	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #anyCont => false ... </k>
rule	reference-semantics/semantics/builtins.k	70	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
rule	reference-semantics/semantics/builtins.k	72	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
syntax	reference-semantics/semantics/builtins.k	76	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
rule	reference-semantics/semantics/builtins.k	77	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
rule	reference-semantics/semantics/builtins.k	78	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
rule	reference-semantics/semantics/builtins.k	80	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
rule	reference-semantics/semantics/builtins.k	81	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
rule	reference-semantics/semantics/builtins.k	82	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)
syntax	reference-semantics/semantics/builtins.k	86	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
rule	reference-semantics/semantics/builtins.k	87	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
rule	reference-semantics/semantics/builtins.k	88	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
