id	file	module	start_line	end_line	kind	flags	decision	rationale	text
1	reference-semantics/semantics/assert.k	MPY-ASSERT	6	7	rule	-	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	reference-semantics/semantics/assert.k	MPY-ASSERT	8	11	rule	-	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	reference-semantics/semantics/assert.k	MPY-ASSERT	13	16	rule	priority	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
4	reference-semantics/semantics/bool.k	MPY-BOOL	8	8	rule	-	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule applyUn("not", V:Val) => notBool truthy(V)
5	reference-semantics/semantics/bool.k	MPY-BOOL	10	10	rule	-	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	reference-semantics/semantics/bool.k	MPY-BOOL	11	11	rule	-	ACCEPT_FIXED_UNUSED	Unmodified supplied-semantics rule/declaration not reachable from the submitted program's construct/value domain; it contributes no proof-local shortcut.	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
7	reference-semantics/semantics/bool.k	MPY-BOOL	16	16	context	-	ACCEPT_FIXED_USED	Unmodified supplied-semantics rule/declaration directly used by solution.mpy; checked against the construct mapping and concrete reconstruction.	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	reference-semantics/semantics/bool.k	MPY-BOOL	17	17	rule	-	ACCEPT_FIXED_USED	Unmodified supplied-semantics rule/declaration directly used by solution.mpy; checked against the construct mapping and concrete reconstruction.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	reference-semantics/semantics/bool.k	MPY-BOOL	18	19	rule	-	ACCEPT_FIXED_USED	Unmodified supplied-semantics rule/declaration directly used by solution.mpy; checked against the construct mapping and concrete reconstruction.	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
10	reference-semantics/semantics/bool.k	MPY-BOOL	20	21	rule	-	ACCEPT_FIXED_USED	Unmodified supplied-semantics rule/declaration directly used by solution.mpy; checked against the construct mapping and concrete reconstruction.	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
