id	file	line	kind	flags	target_dependency	review	declaration
1	reference-semantics/semantics/assert.k	6	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	reference-semantics/semantics/assert.k	8	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	reference-semantics/semantics/assert.k	13	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	reference-semantics/semantics/bool.k	8	equational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	reference-semantics/semantics/bool.k	10	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	reference-semantics/semantics/bool.k	11	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	reference-semantics/semantics/bool.k	17	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
8	reference-semantics/semantics/bool.k	19	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B)) requires isEqOrdOp(OP)
9	reference-semantics/semantics/bool.k	21	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2)) requires isOrdOp(OP)
10	reference-semantics/semantics/bool.k	27	context	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	context BoolOp(_, (HOLE:Expr, _:Exprs))
11	reference-semantics/semantics/bool.k	28	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
12	reference-semantics/semantics/bool.k	29	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
13	reference-semantics/semantics/bool.k	31	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
14	reference-semantics/semantics/bool.k	33	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
15	reference-semantics/semantics/bool.k	35	operational-rule	-	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
16	reference-semantics/semantics/bool.k	40	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
17	reference-semantics/semantics/bool.k	42	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
18	reference-semantics/semantics/bool.k	46	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
19	reference-semantics/semantics/bool.k	50	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
20	reference-semantics/semantics/bool.k	54	operational-rule	priority	NO	FIXED_SEMANTICS_UNUSED_BY_TARGET	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
21	reference-semantics/semantics/builtins.k	17	syntax	function	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	syntax Val ::= applyBuiltin(String, Vals) [function]
22	reference-semantics/semantics/builtins.k	20	syntax	function	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	syntax Int ::= seqLen(Val) [function]
23	reference-semantics/semantics/builtins.k	21	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
24	reference-semantics/semantics/builtins.k	22	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
25	reference-semantics/semantics/builtins.k	23	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
26	reference-semantics/semantics/builtins.k	24	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
27	reference-semantics/semantics/builtins.k	25	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
28	reference-semantics/semantics/builtins.k	26	equational-rule	-	YES	RELEVANT_OPERATIONAL_OR_MATHEMATICAL_RULE_REVIEWED	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
