id	file	line	kind	flags	text
1	reference-semantics/semantics/assert.k	3	module		module MPY-ASSERT
2	reference-semantics/semantics/assert.k	4	imports		  imports MPY-CORE
3	reference-semantics/semantics/assert.k	6	rule	operational	  rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
4	reference-semantics/semantics/assert.k	8	rule	operational	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
5	reference-semantics/semantics/assert.k	13	rule	priority,operational	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
6	reference-semantics/semantics/bool.k	5	module		module MPY-BOOL
7	reference-semantics/semantics/bool.k	6	imports		  imports MPY-CORE
8	reference-semantics/semantics/bool.k	8	rule	equational	  rule applyUn("not", V:Val) => notBool truthy(V)
9	reference-semantics/semantics/bool.k	10	rule	equational	  rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
10	reference-semantics/semantics/bool.k	11	rule	equational	  rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
11	reference-semantics/semantics/bool.k	16	context		  context BoolOp(_, (HOLE:Expr, _:Exprs))
12	reference-semantics/semantics/bool.k	17	rule	operational	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
13	reference-semantics/semantics/bool.k	18	rule	operational	  rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       requires truthy(V)
14	reference-semantics/semantics/bool.k	20	rule	operational	  rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)
15	reference-semantics/semantics/bool.k	22	rule	operational	  rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)
16	reference-semantics/semantics/bool.k	24	rule	operational	  rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       requires notBool truthy(V)
17	reference-semantics/semantics/bool.k	29	rule	priority,operational	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]
18	reference-semantics/semantics/bool.k	31	rule	priority,operational	  rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
19	reference-semantics/semantics/bool.k	35	rule	priority,operational	  rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
20	reference-semantics/semantics/bool.k	39	rule	priority,operational	  rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
21	reference-semantics/semantics/bool.k	43	rule	priority,operational	  rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
22	reference-semantics/semantics/builtins.k	3	module		module MPY-BUILTINS
23	reference-semantics/semantics/builtins.k	4	imports		  imports MPY-CORE
24	reference-semantics/semantics/builtins.k	5	imports		  imports MPY-STR
25	reference-semantics/semantics/builtins.k	6	imports		  imports MPY-SET
26	reference-semantics/semantics/builtins.k	7	imports		  imports MPY-ITER
27	reference-semantics/semantics/builtins.k	8	imports		  imports MPY-RANGE
28	reference-semantics/semantics/builtins.k	9	imports		  imports MPY-INT
29	reference-semantics/semantics/builtins.k	10	imports		  imports MPY-METHODS
30	reference-semantics/semantics/builtins.k	17	syntax	function	  syntax Val ::= applyBuiltin(String, Vals) [function]
