id	location	module	kind	attributes	declaration
1	reference-semantics/semantics.k:34		requires		requires "semantics/syntax.k"
2	reference-semantics/semantics.k:35		requires		requires "semantics/core.k"
3	reference-semantics/semantics.k:36		requires		requires "semantics/iter.k"
4	reference-semantics/semantics.k:37		requires		requires "semantics/range.k"
5	reference-semantics/semantics.k:38		requires		requires "semantics/operators.k"
6	reference-semantics/semantics.k:39		requires		requires "semantics/int.k"
7	reference-semantics/semantics.k:40		requires		requires "semantics/bool.k"
8	reference-semantics/semantics.k:41		requires		requires "semantics/float.k"
9	reference-semantics/semantics.k:42		requires		requires "semantics/str.k"
10	reference-semantics/semantics.k:43		requires		requires "semantics/set.k"
11	reference-semantics/semantics.k:44		requires		requires "semantics/list.k"
12	reference-semantics/semantics.k:45		requires		requires "semantics/tuple.k"
13	reference-semantics/semantics.k:46		requires		requires "semantics/subscript.k"
14	reference-semantics/semantics.k:47		requires		requires "semantics/comprehension.k"
15	reference-semantics/semantics.k:48		requires		requires "semantics/methods.k"
16	reference-semantics/semantics.k:49		requires		requires "semantics/controls.k"
17	reference-semantics/semantics.k:50		requires		requires "semantics/functions.k"
18	reference-semantics/semantics.k:51		requires		requires "semantics/builtins.k"
19	reference-semantics/semantics.k:52		requires		requires "semantics/call.k"
20	reference-semantics/semantics.k:53		requires		requires "semantics/sort.k"
21	reference-semantics/semantics.k:54		requires		requires "semantics/assert.k"
22	reference-semantics/semantics.k:55		requires		requires "semantics/dict.k"
23	reference-semantics/semantics.k:56		requires		requires "semantics/concrete.k"
24	reference-semantics/semantics.k:58	MPY	module		module MPY
25	reference-semantics/semantics.k:59	MPY	imports		imports MPY-CORE
26	reference-semantics/semantics.k:60	MPY	imports		imports MPY-ITER
27	reference-semantics/semantics.k:61	MPY	imports		imports MPY-RANGE
28	reference-semantics/semantics.k:62	MPY	imports		imports MPY-OPERATORS
29	reference-semantics/semantics.k:63	MPY	imports		imports MPY-INT
30	reference-semantics/semantics.k:64	MPY	imports		imports MPY-BOOL
31	reference-semantics/semantics.k:65	MPY	imports		imports MPY-FLOAT
32	reference-semantics/semantics.k:66	MPY	imports		imports MPY-STR
33	reference-semantics/semantics.k:67	MPY	imports		imports MPY-SET
34	reference-semantics/semantics.k:68	MPY	imports		imports MPY-LIST
35	reference-semantics/semantics.k:69	MPY	imports		imports MPY-TUPLE
36	reference-semantics/semantics.k:70	MPY	imports		imports MPY-SUBSCRIPT
37	reference-semantics/semantics.k:71	MPY	imports		imports MPY-COMPREHENSION
38	reference-semantics/semantics.k:72	MPY	imports		imports MPY-METHODS
39	reference-semantics/semantics.k:73	MPY	imports		imports MPY-CONTROLS
40	reference-semantics/semantics.k:74	MPY	imports		imports MPY-FUNCTIONS
41	reference-semantics/semantics.k:75	MPY	imports		imports MPY-BUILTINS
42	reference-semantics/semantics.k:76	MPY	imports		imports MPY-CALL
43	reference-semantics/semantics.k:77	MPY	imports		imports MPY-SORT
