program_construct	translated_term	declaration	operational_rules	evaluation/control conclusion
module	Module(Stmts)	semantics/syntax.k:61	semantics/core.k:124-127	#loadAll exposes the exact statement list and sequences left-to-right
function definition	FuncDef("largest_divisor", Params("n"), Body)	semantics/syntax.k:53; semantics/core.k:31	semantics/functions.k:14-16	binds closureVal with exact body and defining scope
function call	Call(Name("largest_divisor"), Int(N))	semantics/syntax.k:28	semantics/call.k:20-21,69-74; semantics/core.k:185-191; semantics/functions.k:63-66	callee then argument evaluate; fresh local frame binds n and executes exact body
docstring expression	Expr(Str(...))	semantics/syntax.k:13,52	semantics/str.k:13-17; semantics/controls.k:48	ASCII literal becomes str value and is discarded without state effect
assignment	Assign(Name("divisor"), BinOp("-", Name("n"), Int(1)))	semantics/syntax.k:15,41	semantics/core.k:131-154,194; semantics/operators.k:12; semantics/int.k:13; semantics/controls.k:9-11	looks up n, computes N-1, stores divisor in current frame
while	While(Compare(...), AugAssign(...))	semantics/syntax.k:46	semantics/controls.k:65-66,77-82,85	guard re-evaluated each iteration; true runs body and returns to same loop head; false exits
modulus	BinOp("%", Name("n"), Name("divisor"))	semantics/syntax.k:15	semantics/operators.k:12; semantics/int.k:15,19-20	integer Python-style modulo; divisor stays >=1 on proved paths
comparison	Compare(Mod, CmpOp("!=", Int(0)))	semantics/syntax.k:30,32	semantics/operators.k:15-17; semantics/int.k:27	produces Boolean exactly when current candidate is not a divisor
augmented subtraction	AugAssign(Name("divisor"), "-", Int(1))	semantics/syntax.k:44	semantics/controls.k:20-23; semantics/int.k:13	reads current binding and overwrites it with D-1
return	Return(Name("divisor"))	semantics/syntax.k:50	semantics/functions.k:78-90; verification.k:38-41	evaluates divisor, records return, pops exactly the fresh frame, and restores caller state
