id	file	line	end_line	module	kind	tags	text
K0001	reference-semantics/semantics/assert.k	6	7	MPY-ASSERT	rule	ordinary	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	reference-semantics/semantics/assert.k	8	12	MPY-ASSERT	rule	ordinary	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	reference-semantics/semantics/assert.k	13	15	MPY-ASSERT	rule	priority,ordinary	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	reference-semantics/semantics/bool.k	8	9	MPY-BOOL	rule	ordinary	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
K0005	reference-semantics/semantics/bool.k	10	10	MPY-BOOL	rule	ordinary	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K0006	reference-semantics/semantics/bool.k	11	15	MPY-BOOL	rule	ordinary	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
K0007	reference-semantics/semantics/bool.k	16	16	MPY-BOOL	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	reference-semantics/semantics/bool.k	17	17	MPY-BOOL	rule	ordinary	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	reference-semantics/semantics/bool.k	18	19	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
K0010	reference-semantics/semantics/bool.k	20	21	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
K0011	reference-semantics/semantics/bool.k	22	23	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
K0012	reference-semantics/semantics/bool.k	24	28	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
K0013	reference-semantics/semantics/bool.k	29	30	MPY-BOOL	rule	priority,ordinary	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	reference-semantics/semantics/bool.k	31	34	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0015	reference-semantics/semantics/bool.k	35	38	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0016	reference-semantics/semantics/bool.k	39	42	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0017	reference-semantics/semantics/bool.k	43	46	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0018	reference-semantics/semantics/builtins.k	17	19	MPY-BUILTINS	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]
K0019	reference-semantics/semantics/builtins.k	20	20	MPY-BUILTINS	syntax	function	syntax Int ::= seqLen(Val) [function]
K0020	reference-semantics/semantics/builtins.k	21	21	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
K0021	reference-semantics/semantics/builtins.k	22	22	MPY-BUILTINS	rule	ordinary	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0022	reference-semantics/semantics/builtins.k	23	23	MPY-BUILTINS	rule	ordinary	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
