id	file	start_line	end_line	kind	attributes	review_class	decision	text
reference-semantics/semantics/assert.k:3:module:1	reference-semantics/semantics/assert.k	3	3	module		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	module MPY-ASSERT
reference-semantics/semantics/assert.k:4:imports:2	reference-semantics/semantics/assert.k	4	4	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-CORE
reference-semantics/semantics/assert.k:6:rule:3	reference-semantics/semantics/assert.k	6	7	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k:8:rule:4	reference-semantics/semantics/assert.k	8	11	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k:13:rule:5	reference-semantics/semantics/assert.k	13	15	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/assert.k:16:endmodule:6	reference-semantics/semantics/assert.k	16	16	endmodule		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	endmodule
reference-semantics/semantics/bool.k:5:module:1	reference-semantics/semantics/bool.k	5	5	module		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	module MPY-BOOL
reference-semantics/semantics/bool.k:6:imports:2	reference-semantics/semantics/bool.k	6	6	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-CORE
reference-semantics/semantics/bool.k:8:rule:3	reference-semantics/semantics/bool.k	8	8	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k:10:rule:4	reference-semantics/semantics/bool.k	10	10	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k:11:rule:5	reference-semantics/semantics/bool.k	11	11	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
reference-semantics/semantics/bool.k:16:context:6	reference-semantics/semantics/bool.k	16	16	context		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k:17:rule:7	reference-semantics/semantics/bool.k	17	17	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k:18:rule:8	reference-semantics/semantics/bool.k	18	19	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k:20:rule:9	reference-semantics/semantics/bool.k	20	21	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k:22:rule:10	reference-semantics/semantics/bool.k	22	23	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k:24:rule:11	reference-semantics/semantics/bool.k	24	25	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k:29:rule:12	reference-semantics/semantics/bool.k	29	30	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k:31:rule:13	reference-semantics/semantics/bool.k	31	34	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:35:rule:14	reference-semantics/semantics/bool.k	35	38	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:39:rule:15	reference-semantics/semantics/bool.k	39	42	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:43:rule:16	reference-semantics/semantics/bool.k	43	46	rule	priority	OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:47:endmodule:17	reference-semantics/semantics/bool.k	47	47	endmodule		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	endmodule
reference-semantics/semantics/builtins.k:3:module:1	reference-semantics/semantics/builtins.k	3	3	module		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	module MPY-BUILTINS
reference-semantics/semantics/builtins.k:4:imports:2	reference-semantics/semantics/builtins.k	4	4	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-CORE
reference-semantics/semantics/builtins.k:5:imports:3	reference-semantics/semantics/builtins.k	5	5	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-STR
reference-semantics/semantics/builtins.k:6:imports:4	reference-semantics/semantics/builtins.k	6	6	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-SET
reference-semantics/semantics/builtins.k:7:imports:5	reference-semantics/semantics/builtins.k	7	7	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-ITER
reference-semantics/semantics/builtins.k:8:imports:6	reference-semantics/semantics/builtins.k	8	8	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-RANGE
