file	start_line	end_line	kind	source_class	attributes	has_function	has_functional	has_total	has_no_evaluators	has_priority	has_simplification	has_owise	text
/reference/reference-semantics/semantics/assert.k	6	7	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
/reference/reference-semantics/semantics/assert.k	8	12	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
/reference/reference-semantics/semantics/assert.k	13	15	rule	trusted-fixed-semantics	priority(40)	False	False	False	False	True	False	False	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/reference/reference-semantics/semantics/bool.k	8	9	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	10	10	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
/reference/reference-semantics/semantics/bool.k	11	15	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue"
/reference/reference-semantics/semantics/bool.k	16	16	context	trusted-fixed-semantics		False	False	False	False	False	False	False	context BoolOp(_, (HOLE:Expr, _:Exprs))
/reference/reference-semantics/semantics/bool.k	17	17	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/reference/reference-semantics/semantics/bool.k	18	19	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	20	21	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	22	23	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	24	28	rule	trusted-fixed-semantics		False	False	False	False	False	False	False	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure"
/reference/reference-semantics/semantics/bool.k	29	30	rule	trusted-fixed-semantics	priority(40)	False	False	False	False	True	False	False	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/reference/reference-semantics/semantics/bool.k	31	34	rule	trusted-fixed-semantics	priority(40)	False	False	False	False	True	False	False	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
