origin	path	start	end	kind	flags	exact_source_block
trusted-supplied	/reference/reference-semantics/semantics/assert.k	3	3	module	-	module MPY-ASSERT
trusted-supplied	/reference/reference-semantics/semantics/assert.k	4	4	imports	-	  imports MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/assert.k	6	7	rule	-	  rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/assert.k	8	11	rule	-	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/assert.k	13	15	rule	priority	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/assert.k	16	16	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/bool.k	5	5	module	-	module MPY-BOOL
trusted-supplied	/reference/reference-semantics/semantics/bool.k	6	6	imports	-	  imports MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/bool.k	8	8	rule	-	  rule applyUn("not", V:Val) => notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/bool.k	10	10	rule	-	  rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
trusted-supplied	/reference/reference-semantics/semantics/bool.k	11	11	rule	-	  rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
trusted-supplied	/reference/reference-semantics/semantics/bool.k	16	16	context	-	  context BoolOp(_, (HOLE:Expr, _:Exprs))
trusted-supplied	/reference/reference-semantics/semantics/bool.k	17	17	rule	-	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
trusted-supplied	/reference/reference-semantics/semantics/bool.k	18	19	rule	-	  rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/bool.k	20	21	rule	-	  rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/bool.k	22	23	rule	-	  rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/bool.k	24	25	rule	-	  rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/bool.k	29	30	rule	priority	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/bool.k	31	34	rule	priority	  rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/bool.k	35	38	rule	priority	  rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/bool.k	39	42	rule	priority	  rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/bool.k	43	46	rule	priority	  rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/bool.k	47	47	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	3	3	module	-	module MPY-BUILTINS
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	4	4	imports	-	  imports MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	5	5	imports	-	  imports MPY-STR
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	6	6	imports	-	  imports MPY-SET
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	7	7	imports	-	  imports MPY-ITER
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	8	8	imports	-	  imports MPY-RANGE
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	9	9	imports	-	  imports MPY-INT
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	10	10	imports	-	  imports MPY-METHODS
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	17	17	syntax	function	  syntax Val ::= applyBuiltin(String, Vals) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	20	20	syntax	function	  syntax Int ::= seqLen(Val) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	21	21	rule	-	  rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	22	22	rule	-	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	23	23	rule	-	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	24	24	rule	-	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	25	25	rule	-	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	26	26	rule	-	  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	32	32	rule	-	  rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	33	33	rule	-	  rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	34	34	rule	-	  rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	35	35	rule	-	  rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	36	36	syntax	function,total	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	37	37	rule	-	  rule charsOf(.IntSeq)                => .ValSeq
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	38	38	rule	-	  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	41	41	rule	-	  rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	44	44	rule	-	  rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	47	47	syntax	-	  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	48	48	rule	-	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	49	49	rule	-	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	50	52	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>\n       requires isInt(V) orBool isBool(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	54	54	syntax	function	  syntax Int ::= intOf(Val) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	55	55	rule	-	  rule intOf(I:Int)  => I
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	56	56	rule	-	  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	59	59	syntax	-	  syntax KItem ::= #allAcc(Iterable) | "#allCont"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	60	60	rule	-	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	61	61	rule	-	  rule <k> #iterDone ~> #allCont => true ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	62	63	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	64	65	rule	-	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	67	67	syntax	-	  syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	68	68	rule	-	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	69	69	rule	-	  rule <k> #iterDone ~> #anyCont => false ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	70	71	rule	-	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>\n       requires truthy(V)
