source	line	kind	fib_relevance	review_disposition	first_line
reference-semantics/semantics/assert.k	6	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or
reference-semantics/semantics/bool.k	17	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (
reference-semantics/semantics/bool.k	29	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/builtins.k	21	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	23	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	24	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k	25	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k	26	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps 
reference-semantics/semantics/builtins.k	32	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	37	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k	38	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
reference-semantics/semantics/builtins.k	41	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
reference-semantics/semantics/builtins.k	44	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
reference-semantics/semantics/builtins.k	48	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	55	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k	56	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
reference-semantics/semantics/builtins.k	60	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	68	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
