$ python3 /audit-output/evidence/stage5_rule_inventory.py > /audit-output/evidence/stage5_rule_inventory.md
exit=0
  1261 148429 /audit-output/evidence/stage5_rule_inventory.md
# Exhaustive K declaration and rule inventory

Generated from the mounted trusted supplied semantics and mounted candidate sources.

## Counts by file

| File | modules | syntax | contexts | configuration | rules | claims | priority | simplification | function | total | functional | opaque/no-evaluators | concrete | macros |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `trusted/semantics/assert.k` | 1 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/bool.k` | 1 | 0 | 1 | 0 | 13 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/builtins.k` | 1 | 38 | 0 | 0 | 137 | 0 | 1 | 0 | 29 | 22 | 0 | 1 | 0 | 0 |
| `trusted/semantics/call.k` | 1 | 3 | 0 | 0 | 21 | 0 | 5 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
| `trusted/semantics/comprehension.k` | 1 | 3 | 0 | 0 | 7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 |
| `trusted/semantics/concrete.k` | 1 | 5 | 0 | 0 | 16 | 0 | 2 | 0 | 3 | 1 | 0 | 0 | 0 | 0 |
| `trusted/semantics/controls.k` | 1 | 3 | 0 | 0 | 34 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/core.k` | 1 | 37 | 0 | 1 | 46 | 0 | 2 | 0 | 16 | 10 | 0 | 0 | 0 | 0 |
| `trusted/semantics/dict.k` | 1 | 12 | 0 | 0 | 28 | 0 | 2 | 0 | 8 | 4 | 0 | 0 | 0 | 0 |
| `trusted/semantics/float.k` | 1 | 34 | 0 | 0 | 121 | 0 | 4 | 0 | 26 | 25 | 0 | 19 | 26 | 0 |
| `trusted/semantics/functions.k` | 1 | 4 | 0 | 0 | 15 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/int.k` | 1 | 1 | 0 | 0 | 16 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/iter.k` | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/list.k` | 1 | 5 | 0 | 0 | 27 | 0 | 2 | 0 | 3 | 2 | 0 | 0 | 0 | 0 |
| `trusted/semantics/methods.k` | 1 | 27 | 0 | 0 | 75 | 0 | 3 | 0 | 27 | 22 | 0 | 0 | 0 | 0 |
| `trusted/semantics/operators.k` | 1 | 0 | 2 | 0 | 10 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics/range.k` | 1 | 2 | 0 | 0 | 6 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |
| `trusted/semantics/set.k` | 1 | 6 | 0 | 0 | 12 | 0 | 0 | 0 | 5 | 5 | 0 | 0 | 0 | 0 |
| `trusted/semantics/sort.k` | 1 | 6 | 0 | 0 | 19 | 0 | 1 | 0 | 6 | 4 | 0 | 2 | 9 | 0 |
| `trusted/semantics/str.k` | 1 | 5 | 0 | 0 | 28 | 0 | 0 | 0 | 5 | 4 | 0 | 0 | 0 | 0 |
| `trusted/semantics/subscript.k` | 1 | 15 | 2 | 0 | 40 | 0 | 2 | 0 | 13 | 6 | 0 | 0 | 0 | 0 |
| `trusted/semantics/syntax.k` | 1 | 16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
| `trusted/semantics/tuple.k` | 1 | 4 | 0 | 0 | 21 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
| `trusted/semantics.k` | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
| `candidate/verification.k` | 2 | 7 | 0 | 0 | 37 | 0 | 27 | 1 | 4 | 4 | 0 | 0 | 0 | 2 |
| `candidate/spec.k` | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |

Totals: 234 syntax declarations; 5 contexts; 1 configurations; 732 rules; 2 claims; 72 priority-bearing declarations; 1 simplifications; 150 function declarations; 111 total declarations; 0 functional declarations; 22 explicit opaque/no-evaluators declarations.

## `trusted/semantics/assert.k`

