Script started on 2026-07-31 02:44:31-05:00 [<not executed on terminal>]
review_bytes 15143
evidence_links 20 unique 20
missing_links []
terminal_lines ['VERDICT: PASS', 'LEGITIMACY: LEGIT']
terminal_pair_exact True
verdict_lines ['VERDICT: PASS', 'LEGITIMACY: LEGIT']
review_sha256 447acba0240d0db1225f3ae5eb95d1df8d50a325a14d1bbffc0934bd41ea15e6
00_environment_and_inputs.txt 64866 bytes
01_producer_hashes_and_manifests.txt 124064 bytes
02_inventory_tool_and_producer_identity.txt 10180 bytes
03_inventory_tool_remainder.txt 17140 bytes
04_hash_algorithms_and_manifest_summary.txt 22893 bytes
05_independent_recorded_hash_checks.txt 2239 bytes
06_reconstructed_inventory.json 4560 bytes
06_reconstructed_inventory_command.txt 4810 bytes
07_discovery_bijection_mechanical.txt 7016 bytes
08_discovery_bijection_pass.txt 2271 bytes
09_frozen_program_spec_rules_semantics.txt 15491 bytes
10_preflight_source_and_signature.txt 18033 bytes
11_preflight_exact_signature.txt 4561 bytes
12_check_generation_command.txt 459 bytes
12_check_generation_returned.json 0 bytes
13_lean_toolchain_discovery.txt 928 bytes
14_pinned_lean_direct_version.txt 230 bytes
15_lean_installation_layout.txt 6068 bytes
16_lean_sysroot_probe.txt 643 bytes
17_lean_application_probe.txt 1035 bytes
18_lean_binary_diagnostics.txt 3249 bytes
19_lean_error_source_search.txt 9444 bytes
20_lean_strace.txt 253 bytes
21_lean_binary_identity.txt 2227 bytes
22_lean_library_layout.txt 3799 bytes
23_lean_symbol_diagnostics.txt 3083 bytes
24_lean_application_source_search.txt 1151 bytes
25_lean_main_symbols.txt 200 bytes
26_lean_static_symbols.txt 6509 bytes
27_lean_shell_entrypoint.txt 12711 bytes
28_lean_c_source_search.txt 139 bytes
29_lean_main_disassembly.txt 193174 bytes
30_lean_error_xref.txt 7919 bytes
31_proc_and_prefix_probe.txt 303 bytes
32_lean_error_nearby_strings.txt 180 bytes
33_lean_error_nearby_strings.txt 1022 bytes
34_lean_error_function.txt 15803 bytes
35_lean_sandbox_shim_build_and_test.txt 2105 bytes
36_check_generation_command.txt 3141 bytes
36_check_generation_returned.json 2933 bytes
37_stage4_manifests_and_generated_sources.txt 106235 bytes
38_stage4_target_and_trust_declarations.txt 18995 bytes
39_generation_hash_algorithm_source.txt 13162 bytes
40_candidate_sources_and_metadata.txt 3076 bytes
41_candidate_base_contents.txt 232 bytes
42_independent_stage4_bijection_and_target.txt 6106 bytes
43_corrected_stage4_source_record_comparison.txt 799 bytes
44_fresh_stage5_copy.txt 1906 bytes
45_stage5_lake_clean.txt 139 bytes
46_stage5_lake_build.txt 15954 bytes
47_stage5_identity_and_static_trust_scan.txt 2968 bytes
48_print_axioms_Proof_final.txt 183 bytes
49_trusted_axiom_gate_source.txt 6696 bytes
50_trusted_axiom_policy_details.txt 10984 bytes
51_proof_identity_and_adversarial_values.txt 998 bytes
52_counterfactual_convenient_bridge.txt 947 bytes
53_counterfactual_convenient_bridge_pass.txt 1624 bytes
54_counterfactual_convenient_bridge_pass.txt 1377 bytes
55_counterfactual_convenient_bridge_pass.txt 484 bytes
56_universal_operational_bridge_checks.txt 139 bytes
57_proof_statement_and_axiom_reconciliation.txt 627 bytes
58_print_axioms_command.txt 154 bytes
58_print_axioms_exact_output.txt 43 bytes
59_stage1_proof_order_and_claims.txt 3940 bytes
60_operational_symbol_bridge_sources.txt 12601 bytes
61_final_review_consistency.txt 0 bytes
COMMANDS.md 3477 bytes

Script done on 2026-07-31 02:44:31-05:00 [COMMAND_EXIT_CODE="0"]
