file	line	kind	attributes	scope	decision	rationale	declaration
/tmp/audit-work/reference-semantics/semantics/assert.k	6	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> Assert(V:Val) => .K ... </k>
/tmp/audit-work/reference-semantics/semantics/assert.k	8	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
/tmp/audit-work/reference-semantics/semantics/assert.k	13	rule	priority	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/tmp/audit-work/reference-semantics/semantics/bool.k	8	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyUn("not", V:Val) => notBool truthy(V)
/tmp/audit-work/reference-semantics/semantics/bool.k	10	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
/tmp/audit-work/reference-semantics/semantics/bool.k	11	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
/tmp/audit-work/reference-semantics/semantics/bool.k	16	context	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	context BoolOp(_, (HOLE:Expr, _:Exprs))
/tmp/audit-work/reference-semantics/semantics/bool.k	17	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	18	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	20	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	22	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	24	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
/tmp/audit-work/reference-semantics/semantics/bool.k	29	rule	priority	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/tmp/audit-work/reference-semantics/semantics/bool.k	31	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	35	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	39	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
/tmp/audit-work/reference-semantics/semantics/bool.k	43	rule	-	supplied-unused	OUTSIDE_EXECUTED_SUBLANGUAGE	LHS/syntax is not reachable from the submitted AST on List[int]; no false conclusion witness exists on the intended program path.	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
