id,path,kind,start_line,end_line,attributes,disposition,rationale,normalized_sha256
semantics.k:34:bd63dc2187be,/reference/reference-semantics/semantics.k,requires,34,34,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,bd63dc2187bec52366768ae5e226469b8a2ad2c4c545712a0aa741516c9edc32
semantics.k:35:8224539e3a3d,/reference/reference-semantics/semantics.k,requires,35,35,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,8224539e3a3db217e66bd2a98ec63461834dc106ed2a29c0444f710fefda65f8
semantics.k:36:1e5b8702816a,/reference/reference-semantics/semantics.k,requires,36,36,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,1e5b8702816aaf910a96fba0d81db1abbb6b851cb951d2599f700d2bc99dc68d
semantics.k:37:aa5f663a5d1a,/reference/reference-semantics/semantics.k,requires,37,37,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,aa5f663a5d1a12851ffd9c30d8f2ea8d3a5f525e2d67b7d0d58f7a8872201e30
semantics.k:38:b194c4171e7a,/reference/reference-semantics/semantics.k,requires,38,38,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,b194c4171e7ae0db64f5e70592f533a037cd2209b2efbffdbdce3f961c1ba8a3
semantics.k:39:821ae9d706d1,/reference/reference-semantics/semantics.k,requires,39,39,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,821ae9d706d11a65db65080f76bf3791956656836d0cd541a1ce2c7a7c0fc866
semantics.k:40:4486f908787b,/reference/reference-semantics/semantics.k,requires,40,40,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4486f908787bb0107a24b945f3cc04fd35649f6fc896ddfb8287e00541fb24d2
semantics.k:41:c686ca866c6c,/reference/reference-semantics/semantics.k,requires,41,41,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,c686ca866c6c4244284f9c6fee5b4d3f0651dfee6f3b7caffa7acd081eedbf37
semantics.k:42:3e6d049d0d07,/reference/reference-semantics/semantics.k,requires,42,42,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,3e6d049d0d07149d9b7da70a46f30478e3abc80a22c29d1bae5e92eb299269e5
semantics.k:43:28167624a987,/reference/reference-semantics/semantics.k,requires,43,43,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,28167624a9874cf0814cc078c343db574329406ffd94ef33c6a15b3199409955
semantics.k:44:a95bd351b20c,/reference/reference-semantics/semantics.k,requires,44,44,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,a95bd351b20c771469491020adb0ced7ccb5e0d0925e1a2a2afec379202c449d
semantics.k:45:4a702fffa1e1,/reference/reference-semantics/semantics.k,requires,45,45,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4a702fffa1e16b4e2b9fe67d153dfac3c7e911bfa63b671a3bf13dcb280561fe
semantics.k:46:f795613d9cb1,/reference/reference-semantics/semantics.k,requires,46,46,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,f795613d9cb17629ce078e63a8a9c678058dd096cbc71b8d317b8f6dd90a9d92
semantics.k:47:927b4eb4e3dc,/reference/reference-semantics/semantics.k,requires,47,47,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,927b4eb4e3dce857ba8c6b0c9efa4dcea0bb75262d64b9d8c7acea80340f11d3
semantics.k:48:3708c0fc4fe9,/reference/reference-semantics/semantics.k,requires,48,48,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,3708c0fc4fe99cb67a5e6687f95ab01b6b5c12ce14e46e42eab67de05e8a5d10
semantics.k:49:498f2b091406,/reference/reference-semantics/semantics.k,requires,49,49,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,498f2b091406cd4a46c7abb4ef9bd80af213323fa3c73451330610c725364577
semantics.k:50:bf13fda77786,/reference/reference-semantics/semantics.k,requires,50,50,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,bf13fda77786233dc0dc9153ae8cbafc7f9314e3888571436ecbcf652ed84416
semantics.k:51:9dc1130a72c5,/reference/reference-semantics/semantics.k,requires,51,51,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,9dc1130a72c535f9390df5fdbf23b65d5eb8642149d9228616e15de0b282c1b6
semantics.k:52:666c60af66b9,/reference/reference-semantics/semantics.k,requires,52,52,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,666c60af66b9a9a5e57ee0f3fc2f6b80fa7c40c65237af98051a82e0ae1568e3
semantics.k:53:9879ce98eb66,/reference/reference-semantics/semantics.k,requires,53,53,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,9879ce98eb6621931b97c6d9e8a5fb58ff797bc17ca199f746974bae0dcfbbbf
semantics.k:54:d0eef04114b1,/reference/reference-semantics/semantics.k,requires,54,54,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,d0eef04114b1f5a8e340ed83c998f08e618cdd739a8137db71723d6eafb0d8e3
semantics.k:55:dff85649217f,/reference/reference-semantics/semantics.k,requires,55,55,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,dff85649217fc5c356552912f0333bbf2a1eb50bc7d60382df3ce84a5585d73d
semantics.k:56:f5f94e239ba7,/reference/reference-semantics/semantics.k,requires,56,57,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,f5f94e239ba7397d1ac63fc775155ba549bf099b6f8a4a6036ab6fb3bdecfcb4
semantics.k:58:340f552bdab1,/reference/reference-semantics/semantics.k,module,58,58,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,340f552bdab12916ad400c9c2beec5903f96decc9f651bec2c79ee27125aa80e
semantics.k:59:4258a966960e,/reference/reference-semantics/semantics.k,imports,59,59,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd
semantics.k:60:8ad41781e06e,/reference/reference-semantics/semantics.k,imports,60,60,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc
semantics.k:61:548212ddc441,/reference/reference-semantics/semantics.k,imports,61,61,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323
semantics.k:62:ee018db6efb0,/reference/reference-semantics/semantics.k,imports,62,62,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,ee018db6efb00ffdd01d59dac03e43be2192505ed7049d1c693197e018cbc088
semantics.k:63:6a7df951c212,/reference/reference-semantics/semantics.k,imports,63,63,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744
semantics.k:64:bdd3eb0c1e7c,/reference/reference-semantics/semantics.k,imports,64,64,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,bdd3eb0c1e7cd57b39439fe4b6b566cfaa33b796f674c16ff6f57b752736478b
semantics.k:65:b6b71fc553a1,/reference/reference-semantics/semantics.k,imports,65,65,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,b6b71fc553a1963619cbab2a492279a95ca1f81cca764d12f5721cea2ce77cfc
semantics.k:66:1c022ad4e0c9,/reference/reference-semantics/semantics.k,imports,66,66,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877
semantics.k:67:783147658ae8,/reference/reference-semantics/semantics.k,imports,67,67,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6
semantics.k:68:511c798e04e9,/reference/reference-semantics/semantics.k,imports,68,68,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,511c798e04e96a7ad3e9efe5e06eb4804d66d38f1294d62d46068dc7eafb0373
semantics.k:69:b1d1ddeb005d,/reference/reference-semantics/semantics.k,imports,69,69,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,b1d1ddeb005d397d01d2501033a979d991b52ce94dc5c6fcb2c801237e698309
semantics.k:70:e90331404c5d,/reference/reference-semantics/semantics.k,imports,70,70,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,e90331404c5d72894851d971bc8a38fd62bc826e9a92c5ef502548eaf8bcfade
semantics.k:71:18c619c21645,/reference/reference-semantics/semantics.k,imports,71,71,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,18c619c21645e05e9351296d878b165945130c0d89c08db4c496990eb4ff7b23
semantics.k:72:09fe9e0706ae,/reference/reference-semantics/semantics.k,imports,72,72,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,09fe9e0706aef859710b0c5447f1427e859a1a9e9660b612e310bb91d51ec923
semantics.k:73:47dfd92e317b,/reference/reference-semantics/semantics.k,imports,73,73,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,47dfd92e317bb7c0d2b37ea8704d1ebdf3daf5f2ca37f0555105ffde812c5061
semantics.k:74:62b2a9826516,/reference/reference-semantics/semantics.k,imports,74,74,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,62b2a9826516b040855a34fff2e8ca376316ea03367b0f585eae03c0e4e3403c
semantics.k:75:513b07985ad1,/reference/reference-semantics/semantics.k,imports,75,75,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,513b07985ad1b60ab1fc94f4a08021dd25a5b0aa218c3a975ce281a00395ddfa
semantics.k:76:0c52765c8867,/reference/reference-semantics/semantics.k,imports,76,76,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,0c52765c886770ff4ce0300efb451d4b6ed20eb8ff585ae7e98d2be02377229e
semantics.k:77:051aad84a25d,/reference/reference-semantics/semantics.k,imports,77,77,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,051aad84a25d7e3211653f3f83ada310438179bd83d7fa1228a62de6fb19b10b
semantics.k:78:4f603401acfe,/reference/reference-semantics/semantics.k,imports,78,78,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4f603401acfe25a81aba55de3528db3e1e8e6328b907ba1d69b5ece08a4ffd89
semantics.k:79:4ff989d72f49,/reference/reference-semantics/semantics.k,imports,79,79,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4ff989d72f496502ff3ea8f84d27b5be72c05433d0f010e8e836c027a180b83d
semantics.k:80:4c5df27adc71,/reference/reference-semantics/semantics.k,endmodule,80,86,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4
semantics.k:87:3c507e22c3e1,/reference/reference-semantics/semantics.k,module,87,87,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,3c507e22c3e1c073f40583d7461bc43221d4c807fb1114f39c77aace50585bc9
semantics.k:88:6ae4e1db797b,/reference/reference-semantics/semantics.k,imports,88,88,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,6ae4e1db797b2c5a9b115b591095b3516869431c6682a05468cf9bfec87aac66
semantics.k:89:ed62b27710df,/reference/reference-semantics/semantics.k,imports,89,89,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,ed62b27710dfe37a3cb8fc6a56c6f1bce2c878a39d15675f250c57927c4a2018
semantics.k:90:4c5df27adc71,/reference/reference-semantics/semantics.k,endmodule,90,90,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4
assert.k:3:c9be78fdc587,/reference/reference-semantics/semantics/assert.k,module,3,3,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,c9be78fdc587dd075a47c08e505694a8890633ae600b52f886a4ff33046c24b6
assert.k:4:4258a966960e,/reference/reference-semantics/semantics/assert.k,imports,4,5,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd
assert.k:6:90fd8cb48806,/reference/reference-semantics/semantics/assert.k,rule,6,7,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,90fd8cb48806b565c7efda64556bc1f3741e4c215670728e20119ee4302ac5f5
assert.k:8:dfe24d6909ca,/reference/reference-semantics/semantics/assert.k,rule,8,12,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,dfe24d6909cafaa624ffd02ce638b5285dda809ae92d1bf8f64b9ef11388019b
assert.k:13:94ec1f9b3215,/reference/reference-semantics/semantics/assert.k,rule,13,15,priority(40),UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,94ec1f9b321539df9f19af2581391cdb32c7dc4d56895d3d9732706d61c6e039
assert.k:16:4c5df27adc71,/reference/reference-semantics/semantics/assert.k,endmodule,16,16,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4
bool.k:5:d0f4ccd7f134,/reference/reference-semantics/semantics/bool.k,module,5,5,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,d0f4ccd7f134c7e028e54d830d022d5ca267e8266c1692006db410b48d14f7c1
bool.k:6:4258a966960e,/reference/reference-semantics/semantics/bool.k,imports,6,7,,STRUCTURAL_SOURCE_SENTENCE,Require/import/module boundary; no rewrite content.,4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd
bool.k:8:f6a9f817afd5,/reference/reference-semantics/semantics/bool.k,rule,8,9,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4
bool.k:10:27c7ab073847,/reference/reference-semantics/semantics/bool.k,rule,10,10,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a
bool.k:11:f0788e13f0ab,/reference/reference-semantics/semantics/bool.k,rule,11,15,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,f0788e13f0abae37612da8abb60d3691cbb09b5d03a086f76272e5f320394b16
bool.k:16:4bad2e2ff81c,/reference/reference-semantics/semantics/bool.k,context,16,16,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a
bool.k:17:dd652a87b566,/reference/reference-semantics/semantics/bool.k,rule,17,17,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544
bool.k:18:c903d941fb73,/reference/reference-semantics/semantics/bool.k,rule,18,19,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,c903d941fb7314ce9a808ef44e64dbb8c65585c74cc3935c843f59b30f0db2cb
bool.k:20:609b42dde8ce,/reference/reference-semantics/semantics/bool.k,rule,20,21,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,609b42dde8cecff47044578c95dfa8dfa3b51a7bc1edc878294ab4d92055e5d3
bool.k:22:66ef890f68fe,/reference/reference-semantics/semantics/bool.k,rule,22,23,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,66ef890f68fe08fb9cafa68cd0f292cad9db3d564aa5d15542c90c9baecd8c27
bool.k:24:e45c8c057789,/reference/reference-semantics/semantics/bool.k,rule,24,28,,UNREACHABLE_FIXED_SEMANTICS_SENTENCE,Head/construct is absent from the submitted constructor term or is a concrete-only/other-type alternative. It was inventoried and inspected for overlap; it cannot fire on the target proof path.,e45c8c057789286197d69af32767cdf68380f59b006ded43e79dd0f3a34d2fa3
