id	kind	classification	source	line	module	attrs	static_decision	text
K-0001	rule	ordinary_rule	/reference/reference-semantics/semantics/assert.k	6	MPY-ASSERT		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K-0002	rule	ordinary_rule	/reference/reference-semantics/semantics/assert.k	8	MPY-ASSERT		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K-0003	rule	priority_rule	/reference/reference-semantics/semantics/assert.k	13	MPY-ASSERT	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0004	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	8	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
K-0005	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	10	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K-0006	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	11	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
K-0007	context	context	/reference/reference-semantics/semantics/bool.k	16	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	context BoolOp(_, (HOLE:Expr, _:Exprs))
K-0008	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	17	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K-0009	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	18	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
K-0010	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	20	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
K-0011	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	22	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
K-0012	rule	ordinary_rule	/reference/reference-semantics/semantics/bool.k	24	MPY-BOOL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
K-0013	rule	priority_rule	/reference/reference-semantics/semantics/bool.k	29	MPY-BOOL	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K-0014	rule	priority_rule	/reference/reference-semantics/semantics/bool.k	31	MPY-BOOL	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K-0015	rule	priority_rule	/reference/reference-semantics/semantics/bool.k	35	MPY-BOOL	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K-0016	rule	priority_rule	/reference/reference-semantics/semantics/bool.k	39	MPY-BOOL	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K-0017	rule	priority_rule	/reference/reference-semantics/semantics/bool.k	43	MPY-BOOL	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K-0018	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Val ::= applyBuiltin(String, Vals) [function]
K-0019	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= seqLen(Val) [function]
K-0020	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	21	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
K-0021	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	22	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K-0022	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	23	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K-0023	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	24	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K-0024	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	25	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K-0025	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	26	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K-0026	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	32	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K-0027	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	33	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K-0028	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	34	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
K-0029	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	35	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
K-0030	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K-0031	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	37	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule charsOf(.IntSeq) => .ValSeq
K-0032	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	38	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K-0033	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	41	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
K-0034	rule	ordinary_rule	/reference/reference-semantics/semantics/builtins.k	44	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
K-0035	syntax	syntax_declaration	/reference/reference-semantics/semantics/builtins.k	47	MPY-BUILTINS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
