Script started on 2026-07-26 14:55:10-05:00 [<not executed on terminal>]
id	file	lines	kind	attributes	impact	decision	declaration_or_rule
K001	semantics/assert.k	6-6	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> Assert(V:Val) => .K ... </k>
K002	semantics/assert.k	8-10	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
K003	semantics/assert.k	13-15	rule	priority	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K004	semantics/bool.k	8-9	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyUn("not", V:Val) => notBool truthy(V)
K005	semantics/bool.k	10-10	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K006	semantics/bool.k	11-15	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
K007	semantics/bool.k	16-16	context	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	context BoolOp(_, (HOLE:Expr, _:Exprs))
K008	semantics/bool.k	17-17	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K009	semantics/bool.k	18-18	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
K010	semantics/bool.k	20-20	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K011	semantics/bool.k	22-22	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K012	semantics/bool.k	24-24	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
K013	semantics/bool.k	29-30	rule	priority	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K014	semantics/bool.k	31-32	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K015	semantics/bool.k	35-36	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K016	semantics/bool.k	39-40	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K017	semantics/bool.k	43-44	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K018	semantics/builtins.k	17-19	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
K019	semantics/builtins.k	20-20	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= seqLen(Val) [function]
K020	semantics/builtins.k	21-21	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K021	semantics/builtins.k	22-22	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K022	semantics/builtins.k	23-23	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K023	semantics/builtins.k	24-24	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K024	semantics/builtins.k	25-25	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K025	semantics/builtins.k	26-31	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
K026	semantics/builtins.k	32-32	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K027	semantics/builtins.k	33-33	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K028	semantics/builtins.k	34-34	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K029	semantics/builtins.k	35-35	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K030	semantics/builtins.k	36-36	syntax	function,total	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K031	semantics/builtins.k	37-37	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule charsOf(.IntSeq) => .ValSeq
K032	semantics/builtins.k	38-40	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
K033	semantics/builtins.k	41-43	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
K034	semantics/builtins.k	44-46	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
K035	semantics/builtins.k	47-47	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K036	semantics/builtins.k	48-48	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K037	semantics/builtins.k	49-49	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K038	semantics/builtins.k	50-51	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
K039	semantics/builtins.k	54-54	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= intOf(Val) [function]
K040	semantics/builtins.k	55-55	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule intOf(I:Int) => I
K041	semantics/builtins.k	56-58	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
K042	semantics/builtins.k	59-59	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K043	semantics/builtins.k	60-60	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K044	semantics/builtins.k	61-61	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterDone ~> #allCont => true ... </k>
K045	semantics/builtins.k	62-62	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
K046	semantics/builtins.k	64-64	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
K047	semantics/builtins.k	67-67	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K048	semantics/builtins.k	68-68	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K049	semantics/builtins.k	69-69	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterDone ~> #anyCont => false ... </k>
K050	semantics/builtins.k	70-70	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
K051	semantics/builtins.k	72-72	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
K052	semantics/builtins.k	76-76	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K053	semantics/builtins.k	77-77	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K054	semantics/builtins.k	78-78	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
K055	semantics/builtins.k	80-80	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K056	semantics/builtins.k	81-81	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K057	semantics/builtins.k	82-83	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
K058	semantics/builtins.k	86-86	syntax	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K059	semantics/builtins.k	87-87	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K060	semantics/builtins.k	88-88	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
K061	semantics/builtins.k	90-90	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K062	semantics/builtins.k	91-91	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K063	semantics/builtins.k	92-93	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
K064	semantics/builtins.k	97-97	syntax	function	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	syntax Int ::= maxVals(Int, Vals) [function]
K065	semantics/builtins.k	98-98	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K066	semantics/builtins.k	99-99	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule maxVals(M:Int, .Vals) => M
K067	semantics/builtins.k	100-101	rule	-	FIXED_UNUSED	ACCEPTED_FIXED_UNUSED	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
