Script started on 2026-07-26 15:30:11-05:00 [<not executed on terminal>]
INVENTORY SUMMARY
files=26
records=943
record_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 704, 'syntax': 231}
attribute_counts={'concrete': 32, 'depends': 1, 'function': 148, 'macro': 4, 'owise': 26, 'priority': 29, 'seqstrict': 1, 'simplification': 2, 'strict': 2, 'symbol': 25, 'total': 110}

origin	file:line	kind	attributes	complete_source_block
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/assert.k:6	rule	-	rule <k> Assert(V:Val) => .K ... </k>
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/assert.k:8	rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> ⏎ <exc> NoExc => AssertionError </exc> ⏎ <exit-code> _ => 1 </exit-code>
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/assert.k:13	rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> ⏎ <heap> ... H |-> V:Val ... </heap> ⏎ [priority(40)]
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:8	rule	-	rule applyUn("not", V:Val) => notBool truthy(V)
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:10	rule	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:11	rule	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 ⏎  ⏎ // ==== BoolOp: short-circuit, value-returning and / or ===================== ⏎ // the node is its own accumulator: heat the HEAD element only, then either return it ⏎ // (short-circuit) or drop it and continue
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:16	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:17	rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:18	rule	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
FIXED_SUPPLIED_SEMANTICS	reference-semantics/semantics/bool.k:20	rule	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
