program_construct	declaration_or_semantic_route	auditor_judgment
Module/FuncDef	syntax.k:62; functions.k:13; core.k:125-127	Module loader installs the exact closure in scope 0; structurally pinned.
Call/arguments	syntax.k:25; call.k:16-17,20,69-74; core.k:183-190	Callee is looked up first, arguments then evaluate left-to-right, exact closure frame is pushed.
tuple/vCons exact inputs	core.k:17-18,24; tuple.k values	Claims supply exact two-element tuple values; no constructor allocation or malformed indexing path.
Name lookup	core.k:128-154	Current function frame wins; parent chain reaches module/builtins. Exact maps in claims pin bindings.
Subscript 0/1	syntax.k:19; subscript.k:29-42; core.k:223-225	Object then index evaluation; exact two-element tuples make valSeqAt rules in-bounds.
Int/Bool literals	syntax.k:9,11; core.k:194-196	Direct values; Python/K unbounded integer model aligns on the used domain.
Str YES/NO	syntax.k:13; str.k:13-17	ASCII literal conversion covers Y/E/S/N/O and returns exact code sequences.
Assign	syntax.k:37; controls.k:8-18	RHS evaluates before current-frame map update; only named locals are mutated.
If/truthiness	syntax.k:44; controls.k:51-54; core.k:199-205	Condition evaluates first; Int/Bool truthiness and branches match the used program.
BinOp +,-,%	syntax.k:14; operators.k:10; int.k:9,13-14	Integer dispatch matches Python for +,- and positive-divisor modulo.
Compare >,<,==	syntax.k:26-27; operators.k:13-17; int.k:22-26	Left-to-right comparison evaluation and integer predicates match used comparisons.
While	syntax.k:41; controls.k:68-75	The condition is re-evaluated before each iteration; body sequencing, divisor increment, and exit are preserved.
Return	syntax.k:45; functions.k:78-90	Expression evaluates, return discards remaining body, then exact saved continuation/environment are restored.
Configuration	core.k:50-62	Entry and loop claims pin all active cells; only loop-local divisor/prime updates are abstracted.
