id	source	start_line	end_line	kind	function	total	functional	opaque_symbol	priority	simplification	macro	disposition	summary
1	trusted:semantics/assert.k	3	3	module	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	module MPY-ASSERT
2	trusted:semantics/assert.k	4	5	imports	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	imports MPY-CORE
3	trusted:semantics/assert.k	6	7	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
4	trusted:semantics/assert.k	8	12	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
5	trusted:semantics/assert.k	13	15	rule	false	false	false	false	true	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
6	trusted:semantics/assert.k	16	16	endmodule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	endmodule
7	trusted:semantics/bool.k	5	5	module	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	module MPY-BOOL
8	trusted:semantics/bool.k	6	7	imports	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	imports MPY-CORE
9	trusted:semantics/bool.k	8	9	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule applyUn("not", V:Val) => notBool truthy(V)
10	trusted:semantics/bool.k	10	10	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
11	trusted:semantics/bool.k	11	11	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
12	trusted:semantics/bool.k	16	16	context	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	context BoolOp(_, (HOLE:Expr, _:Exprs))
13	trusted:semantics/bool.k	17	17	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
14	trusted:semantics/bool.k	18	19	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
15	trusted:semantics/bool.k	20	21	rule	false	false	false	false	false	false	false	UNUSED_SUPPLIED_FIXED_BASELINE:exact_tree_identity_checked;accepted_as_selected_semantics	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
