file	line	kind	attributes	disposition	reason	head
reference-semantics/semantics/assert.k	6	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k	8	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
reference-semantics/semantics/assert.k	13	rule	priority	SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
reference-semantics/semantics/bool.k	17	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	20	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	22	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	24	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	29	rule	priority	SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	35	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	39	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	43	rule		SUPPLIED_BASELINE_UNUSED	byte-identical launcher-selected semantics and unreachable from this program/claim; no proof dependency	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/builtins.k	21	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	23	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	24	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k	25	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k	26	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is 
reference-semantics/semantics/builtins.k	32	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	37	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k	38	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
