id	origin	file	line	kind	attributes	review_disposition	normalized
1	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/assert.k	6	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/assert.k	8	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/assert.k	13	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	8	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	10	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	11	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	16	context		fixed supplied semantics: integrity-verified; inspect relevance	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	17	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	18	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
10	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	20	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
11	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	22	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
12	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	24	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
13	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	29	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	31	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
15	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	35	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
16	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	39	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
17	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/bool.k	43	rule	priority	fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
18	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	17	syntax	function	fixed supplied semantics: integrity-verified; inspect relevance	syntax Val ::= applyBuiltin(String, Vals) [function]
19	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	20	syntax	function	fixed supplied semantics: integrity-verified; inspect relevance	syntax Int ::= seqLen(Val) [function]
20	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	21	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
21	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	22	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
22	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	23	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
23	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	24	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
24	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	25	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
25	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	26	rule		fixed supplied semantics: integrity-verified; inspect relevance	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	32	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
27	SUPPLIED_SEMANTICS	/tmp/audit-work/51-remove-vowels/candidate/reference-semantics/semantics/builtins.k	33	rule		fixed supplied semantics: integrity-verified; inspect relevance	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
