COMMAND: python3 /audit-output/evidence/differential_test.py
CASE 000 x=2 y=3
CASE 001 x=5 y=7
CASE 002 x=0 y=0
CASE 003 x=0 y=1
CASE 004 x=1 y=0
CASE 005 x=0 y=-1
CASE 006 x=-1 y=0
CASE 007 x=1 y=-1
CASE 008 x=-1 y=1
CASE 009 x=-1 y=-1
CASE 010 x=2147483647 y=1
CASE 011 x=-2147483648 y=-1
CASE 012 x=9223372036854775807 y=1
CASE 013 x=-9223372036854775808 y=-1
CASE 014 x=10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 y=-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CASE 015 x=10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 y=10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CASE 016 x=-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 y=-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CASE 017 x=50217050956819342224556924251715343175213678357198536836264080904514975262276530 y=48327627483979596514322843723915445089266832242953304756982040145191521462599651
CASE 018 x=7586000109628959637604964490176828486903161603609897555436686392173744234599489 y=-78916145430273142810233049949167586859552950678545363490035942139487849523825640
CASE 019 x=-81386262240621601486007030807033853672336113683641736439842470236634216428438791 y=-20486541093193366702465044840659677999145808679277155527915842603679339876038629
CASE 020 x=-88401292280836115186185839867942857903312625767362491440011594635951683624816479 y=17390937885400056056713792260391229880993563682822229665860450136629624130573749
CASE 021 x=2122025824712585072046865639821010694005268262040545281895430100901397408427866 y=-84002753266111692770520713877796507925935323175994093785582453000655213732692891
CASE 022 x=56446384629537086665241926970199787606168875493322467560820397033804021475590520 y=69321588648524319870111725303773485438181334358100553467784030477930143061963085
CASE 023 x=86266321950431195062542793040655977905703767319041080726920814630073104784538757 y=-10458575946328663022105791683365568167038304677729066271704115151461842958054665
CASE 024 x=-31074668156934568057283986391634333163005843770844352657864348590563504316135071 y=-42955599185456942936404621674789905343637055764116437286164478882114175280512881
CASE 025 x=27251748704786602495289906139144737361315934271583020617574077276147434890123119 y=-84003287250116070016177016072530976592814690207303062489342658226047270074232213
CASE 026 x=-17705573824075818109044973555953129447736181421052883812537756226786079483953118 y=-4206151477901064890142804899802057460202868595726269919572380874362229383522683
CASE 027 x=-38352128300113201538507480759764050260614217235513949111156057200456625434334869 y=18178522880256189909162561130403992857997138085899104306559480776867458044811817
CASE 028 x=-43475530239501637023392359527441910768996943033844275908707713033094490545595340 y=-10397289803048252526270044217674339323736081539413053150635921627288323783382601
CASE 029 x=22170864443945188488910008580194539224706335000528816675590697378063585810427778 y=87141608329579821648016484514429869623500097968857722203400574368422140891557147
CASE 030 x=-23169045761040452951133929432676604110523080985683573305001135049845265991165543 y=-77050469979325722159883377666011227635931531758277222569535469270814545296748466
CASE 031 x=56687602921788918948334420306972881247260846370434125375263240822396797996652589 y=30051206481070751377988495678786758263313883740794120851802644605679219500698828
CASE 032 x=-79779298641412727966923972470289162281417678622137364969395338873799552791460350 y=31415094364748371043137770161798176946401081583916998430330015603471818509501914
CASE 033 x=78248215805254453446808480682377189877006493332051968837325841345316106778316640 y=1917665094925460573117299285222701432510656658316519040697930572881097805008716
CASE 034 x=13274101535877332496329181870431387588184052974441624257176999829715166587318871 y=-24548382071072791490875769753239757309832253486975480636017323413615446300467172
CASE 035 x=-51923320102956294206141517127361011124263970151977061651387073122988191721861784 y=-32487891398691811875373966229433536607626719914197235905207492169311454583018781
CASE 036 x=-91552843181798206134626176910883331408062481569410113018672280161309515530487534 y=19747375563444334093244461690044471327555809347889604236697411632954973276084740
