id	source	start_line	end_line	kind	attributes	decision	rationale	excerpt
1	semantics.k	34	34	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/syntax.k"""
2	semantics.k	35	35	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/core.k"""
3	semantics.k	36	36	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/iter.k"""
4	semantics.k	37	37	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/range.k"""
5	semantics.k	38	38	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/operators.k"""
6	semantics.k	39	39	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/int.k"""
7	semantics.k	40	40	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/bool.k"""
8	semantics.k	41	41	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/float.k"""
9	semantics.k	42	42	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/str.k"""
10	semantics.k	43	43	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/set.k"""
11	semantics.k	44	44	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/list.k"""
12	semantics.k	45	45	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/tuple.k"""
13	semantics.k	46	46	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/subscript.k"""
14	semantics.k	47	47	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/comprehension.k"""
15	semantics.k	48	48	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/methods.k"""
16	semantics.k	49	49	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/controls.k"""
17	semantics.k	50	50	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/functions.k"""
18	semantics.k	51	51	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/builtins.k"""
19	semantics.k	52	52	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/call.k"""
20	semantics.k	53	53	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/sort.k"""
21	semantics.k	54	54	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/assert.k"""
22	semantics.k	55	55	requires	-	ACCEPTED-USED-PATH	Matches the real program's syntax/execution path; checked for order, binding, cells, allocation, and control fidelity.	"requires ""semantics/dict.k"""
