construct	source location	declaration/evaluation	rules used and soundness decision
Module(...)	solution.mpy:1; syntax.k:61	module is a statement list	core.k:124-127 loads and sequences all statements; exact and state-local
ImportFrom("typing","List")	solution.mpy:2; syntax.k:43	non-strict statement	controls.k:35-44 makes non-math typing import a no-op; typing-only and semantically inert here
FuncDef	solution.mpy:3; syntax.k:53	function body is stored, not run at definition	functions.k:14-16 binds exact closure body and defining scope; scope update is exact
Call	solution/spec entry; syntax.k:28	callee then arguments via call.k:20-21 and core.k:185-191	call.k:69-75 allocates one frame, binds exact parameters, saves continuation; left-to-right argument evaluation is explicit
Name	solution.mpy:3-8; syntax.k:12	name expression	core.k:130-154 resolves current scope then parents; all proof states pin the relevant bindings
Assign	result = []	solution.mpy:4; syntax.k:41 strict RHS	list.k:13-15 plus core.k:117-121 allocate fresh list; controls.k:9-18 stores ref in current scope
ListExpr	solution.mpy:4; syntax.k:17	arguments evaluated left-to-right	list.k:13-15 converts evaluated values and allocates; empty case allocates heap location 0
For	solution.mpy:5; syntax.k:45 strict iterable	controls.k:69-74 evaluates iterable once and uses #iterNext; tuple.k:31-41 binds target; candidate iterator bridge exactly refines list.k:9-10 for StrSeq
If	solution.mpy:6; syntax.k:49 strict condition	controls.k:51-54 branches on truthy Bool; containment produces Bool
Compare "in"	solution.mpy:6; syntax.k:30; operators.k:15-17	left then right evaluation contexts	candidate bridge is equivalent to operators.k:17 plus str.k:29 and total strContains rules 32-41; bridge-free theorem closes
Str containment	postcondition and execution	str.k:32-41	total structural prefix/substring functions	guards are disjoint and constructor recursion decreases; empty substring and all positions are covered
Attribute	result.append	solution.mpy:7; syntax.k:29 strict receiver	call.k:16 creates bound method preserving selected receiver/binding
append	solution.mpy:7	call.k:20-24 dispatch after receiver/argument evaluation	list.k:53-55 mutates only heap H by right-appending exact value and returns noneV
Expr statement	solution.mpy:7; syntax.k:52 strict expression	controls.k:46-48 evaluates call for effect and discards noneV; append effect remains
Return	solution.mpy:9; syntax.k:50 strict result	functions.k:78-90 records returned ref, discards remaining callee continuation, restores caller, and removes frame; final cells are pinned
strVals	verification.k:12-15	proof representation of a list of strings	two constructor equations map every StrSeq to ordered vCons(str(...)); no oracle or result fact is encoded
filterAccStrings	verification.k:37-48	total postcondition function	base and true/false guarded cons equations are disjoint, Bool-exhaustive, order-preserving, and structurally decreasing
filterStrings	verification.k:50-52	total postcondition wrapper	single equation starts empty accumulator; no overlap or opacity
lastCodes	verification.k:54-57	total loop-target summary	base retains prior target; cons recursion returns last remaining code sequence and strictly decreases
filterLoopBody/filterBody/filterProgram	verification.k:60-76	macros expanded before execution	expanded KORE is byte-identical for submitted solution.mpy and filterProgram; macros do not bypass execution
configuration	all claims	core.k:49-60	k, env, scopes, scopeLoc, heap, heapLoc, stack, ret, exc, exit-code	entry claim pins every cell; loop claim frames cells the loop cannot affect and constrains k/scopes/heap
