COMMAND: /audit-output/evidence/inventory_k.sh /tmp/audit-work/48-is-palindrome /audit-output/evidence/rule-inventory.tsv 
id	file	line	kind	declaration	decision
1	reference-semantics/semantics/assert.k	6	rule	rule <k> Assert(V:Val) => .K ... </k>	ACCEPT_FIXED_RULE
2	reference-semantics/semantics/assert.k	8	rule	rule <k> Assert(V:Val) ~> _ => .K </k>	ACCEPT_FIXED_RULE
3	reference-semantics/semantics/assert.k	13	rule	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>	ACCEPT_FIXED_RULE
4	reference-semantics/semantics/bool.k	8	rule	rule applyUn("not", V:Val) => notBool truthy(V)	ACCEPT_FIXED_RULE
5	reference-semantics/semantics/bool.k	10	rule	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2	ACCEPT_FIXED_RULE
6	reference-semantics/semantics/bool.k	11	rule	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2	ACCEPT_FIXED_RULE
7	reference-semantics/semantics/bool.k	16	context	context BoolOp(_, (HOLE:Expr, _:Exprs))	ACCEPT_FIXED_EVALUATION_CONTEXT
8	reference-semantics/semantics/bool.k	17	rule	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	ACCEPT_FIXED_RULE
9	reference-semantics/semantics/bool.k	18	rule	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>	ACCEPT_FIXED_RULE
10	reference-semantics/semantics/bool.k	20	rule	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>	ACCEPT_FIXED_RULE
11	reference-semantics/semantics/bool.k	22	rule	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>	ACCEPT_FIXED_RULE
12	reference-semantics/semantics/bool.k	24	rule	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>	ACCEPT_FIXED_RULE
13	reference-semantics/semantics/bool.k	29	rule	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>	ACCEPT_FIXED_RULE
14	reference-semantics/semantics/bool.k	31	rule	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>	ACCEPT_FIXED_RULE
15	reference-semantics/semantics/bool.k	35	rule	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>	ACCEPT_FIXED_RULE
16	reference-semantics/semantics/bool.k	39	rule	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>	ACCEPT_FIXED_RULE
17	reference-semantics/semantics/bool.k	43	rule	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>	ACCEPT_FIXED_RULE
18	reference-semantics/semantics/builtins.k	17	syntax	syntax Val ::= applyBuiltin(String, Vals) [function]	ACCEPT_FIXED_DECLARATION
19	reference-semantics/semantics/builtins.k	20	syntax	syntax Int ::= seqLen(Val) [function]	ACCEPT_FIXED_DECLARATION
20	reference-semantics/semantics/builtins.k	21	rule	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)	ACCEPT_FIXED_RULE
21	reference-semantics/semantics/builtins.k	22	rule	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	ACCEPT_FIXED_RULE
22	reference-semantics/semantics/builtins.k	23	rule	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	ACCEPT_FIXED_RULE
23	reference-semantics/semantics/builtins.k	24	rule	rule seqLen(str(IS:IntSeq))                   => isLen(IS)	ACCEPT_FIXED_RULE
24	reference-semantics/semantics/builtins.k	25	rule	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	ACCEPT_FIXED_RULE
25	reference-semantics/semantics/builtins.k	26	rule	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	ACCEPT_FIXED_RULE
26	reference-semantics/semantics/builtins.k	32	rule	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>	ACCEPT_FIXED_RULE
27	reference-semantics/semantics/builtins.k	33	rule	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>	ACCEPT_FIXED_RULE
28	reference-semantics/semantics/builtins.k	34	rule	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>	ACCEPT_FIXED_RULE
29	reference-semantics/semantics/builtins.k	35	rule	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>	ACCEPT_FIXED_RULE
30	reference-semantics/semantics/builtins.k	36	syntax	syntax ValSeq ::= charsOf(IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
31	reference-semantics/semantics/builtins.k	37	rule	rule charsOf(.IntSeq)                => .ValSeq	ACCEPT_FIXED_RULE
32	reference-semantics/semantics/builtins.k	38	rule	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	ACCEPT_FIXED_RULE
33	reference-semantics/semantics/builtins.k	41	rule	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))	ACCEPT_FIXED_RULE
34	reference-semantics/semantics/builtins.k	44	rule	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)	ACCEPT_FIXED_RULE
35	reference-semantics/semantics/builtins.k	47	syntax	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	ACCEPT_FIXED_DECLARATION
36	reference-semantics/semantics/builtins.k	48	rule	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	ACCEPT_FIXED_RULE
37	reference-semantics/semantics/builtins.k	49	rule	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	ACCEPT_FIXED_RULE
38	reference-semantics/semantics/builtins.k	50	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)	ACCEPT_FIXED_RULE
39	reference-semantics/semantics/builtins.k	54	syntax	syntax Int ::= intOf(Val) [function]	ACCEPT_FIXED_DECLARATION
40	reference-semantics/semantics/builtins.k	55	rule	rule intOf(I:Int)  => I	ACCEPT_FIXED_RULE
41	reference-semantics/semantics/builtins.k	56	rule	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	ACCEPT_FIXED_RULE
42	reference-semantics/semantics/builtins.k	59	syntax	syntax KItem ::= #allAcc(Iterable) | "#allCont"	ACCEPT_FIXED_DECLARATION
43	reference-semantics/semantics/builtins.k	60	rule	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	ACCEPT_FIXED_RULE
44	reference-semantics/semantics/builtins.k	61	rule	rule <k> #iterDone ~> #allCont => true ... </k>	ACCEPT_FIXED_RULE
45	reference-semantics/semantics/builtins.k	62	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>	ACCEPT_FIXED_RULE
46	reference-semantics/semantics/builtins.k	64	rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>	ACCEPT_FIXED_RULE
47	reference-semantics/semantics/builtins.k	67	syntax	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"	ACCEPT_FIXED_DECLARATION
48	reference-semantics/semantics/builtins.k	68	rule	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	ACCEPT_FIXED_RULE
49	reference-semantics/semantics/builtins.k	69	rule	rule <k> #iterDone ~> #anyCont => false ... </k>	ACCEPT_FIXED_RULE
50	reference-semantics/semantics/builtins.k	70	rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>	ACCEPT_FIXED_RULE
51	reference-semantics/semantics/builtins.k	72	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>	ACCEPT_FIXED_RULE
52	reference-semantics/semantics/builtins.k	76	syntax	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)	ACCEPT_FIXED_DECLARATION
53	reference-semantics/semantics/builtins.k	77	rule	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	ACCEPT_FIXED_RULE
54	reference-semantics/semantics/builtins.k	78	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>	ACCEPT_FIXED_RULE
55	reference-semantics/semantics/builtins.k	80	rule	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	ACCEPT_FIXED_RULE
56	reference-semantics/semantics/builtins.k	81	rule	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	ACCEPT_FIXED_RULE
57	reference-semantics/semantics/builtins.k	82	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)	ACCEPT_FIXED_RULE
