id	kind	status	justification
INV-0001	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Assertion success/failure and ref dereference; outside the symbolic target, concrete smoke tests only.
INV-0002	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Assertion success/failure and ref dereference; outside the symbolic target, concrete smoke tests only.
INV-0003	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Assertion success/failure and ref dereference; outside the symbolic target, concrete smoke tests only.
INV-0004	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0005	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0006	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0007	context	ACCEPTED_FIXED_DECLARATION	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0008	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0009	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0010	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0011	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0012	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0013	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0014	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0015	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0016	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0017	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Boolean truth/short-circuit equations preserve left-to-right evaluation; unused by this program except built-in Bool theory in guards.
INV-0018	syntax	ACCEPTED_FIXED_DECLARATION	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
INV-0019	syntax	ACCEPTED_FIXED_DECLARATION	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
INV-0020	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
INV-0021	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
INV-0022	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
INV-0023	rule	ACCEPTED_FIXED_SEMANTICS_RULE	Built-in subset equations; the used zip(str,str) constructor and iterator rules are exact truncating parallel iteration.
