source,source_sha256,line_start,line_end,kind,flags,summary,decision,rationale
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,3,3,module,,module MPY-ASSERT,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,4,4,imports,,imports MPY-CORE,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,6,7,rule,ordinary-rule,rule <k> Assert(V:Val) => .K ... </k> requires truthy(V),ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,8,11,rule,ordinary-rule,rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,13,15,rule,priority;ordinary-rule,rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/assert.k,4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b,16,16,endmodule,,endmodule,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,5,5,module,,module MPY-BOOL,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,6,6,imports,,imports MPY-CORE,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,8,8,rule,ordinary-rule,"rule applyUn(""not"", V:Val) => notBool truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,10,10,rule,ordinary-rule,"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
