$ python3 concrete_semantics_test.py --work /tmp/audit-work/final-reconstruction --definition /tmp/audit-work/final-reconstruction/semantic-audit-kompiled
input=1 k_exit=0 final_k=True k='i' candidate_py='i' canonical_py='i' output_sha256=d7f2781fe5ea73ea52154cffefd8c8c8af7c82d2121e3a5ed89a64508bf05f3e ok=True
input=3 k_exit=0 final_k=True k='iii' candidate_py='iii' canonical_py='iii' output_sha256=beadfb41e3fae7464dcd53a230208b171fada483924e4e0568f35f66c0497e00 ok=True
input=4 k_exit=0 final_k=True k='iv' candidate_py='iv' canonical_py='iv' output_sha256=ec0e41511e2498a5d456caea2ff5d373263d985d1f8482e63260c6a21def3d26 ok=True
input=5 k_exit=0 final_k=True k='v' candidate_py='v' canonical_py='v' output_sha256=ae8d8c4ea52dc1abb6c788e1dc48bbd3e433918d08226aa21b9142211cd72db6 ok=True
input=8 k_exit=0 final_k=True k='viii' candidate_py='viii' canonical_py='viii' output_sha256=b1722ce2c8d818d69802ee0f3a4020e3a4dda5268b60220536c62f7bdc49cb31 ok=True
input=9 k_exit=0 final_k=True k='ix' candidate_py='ix' canonical_py='ix' output_sha256=cfae80e275f214a3d1fdf56b94786d500bdeb26c32e59becc298269c954be45e ok=True
input=10 k_exit=0 final_k=True k='x' candidate_py='x' canonical_py='x' output_sha256=9989e7c7cf907fe0ac9344b61c8665057bd183545199e9b9f73687568e80d89c ok=True
input=19 k_exit=0 final_k=True k='xix' candidate_py='xix' canonical_py='xix' output_sha256=39fa924b6258014061d61f509c0a8337bf023d0d8553f885ec2a381aecc81461 ok=True
input=39 k_exit=0 final_k=True k='xxxix' candidate_py='xxxix' canonical_py='xxxix' output_sha256=91fa5f120e6784efdbdaed57af16fb63ea73b15620abbf5cdadc7996a5b2f38e ok=True
input=40 k_exit=0 final_k=True k='xl' candidate_py='xl' canonical_py='xl' output_sha256=f70606a862d899c0cfc31c3be560a536cc577b1f7abe81e31be84c41a7663a63 ok=True
input=49 k_exit=0 final_k=True k='xlix' candidate_py='xlix' canonical_py='xlix' output_sha256=31ba7a91e6974070428d84efdaa95693582ca952b49cfc43478e283333d406de ok=True
input=50 k_exit=0 final_k=True k='l' candidate_py='l' canonical_py='l' output_sha256=2f3477d0f3b09bae9d6db18b42360bb2726fe1fdfe84a19a7e83929d6cbf7173 ok=True
input=89 k_exit=0 final_k=True k='lxxxix' candidate_py='lxxxix' canonical_py='lxxxix' output_sha256=ef2e7acf3c150648a08acf35786fedd1310c5d07f41f2117c0b6db6cb690262e ok=True
input=90 k_exit=0 final_k=True k='xc' candidate_py='xc' canonical_py='xc' output_sha256=59976412e273f16b7061fe8334aeee811c8e64fbd6951b0aa0f500c584cb80fc ok=True
input=99 k_exit=0 final_k=True k='xcix' candidate_py='xcix' canonical_py='xcix' output_sha256=f89e4744444974086e1599841286f132a73c54d5252e1595d1e20fb62c009726 ok=True
input=100 k_exit=0 final_k=True k='c' candidate_py='c' canonical_py='c' output_sha256=da36a95d9165dedb15ce851eb8eb4577fe1d4cf1b7edf4cc10b3983dbac7f80d ok=True
input=152 k_exit=0 final_k=True k='clii' candidate_py='clii' canonical_py='clii' output_sha256=d5315b5b2b64fd28c314ace2da60c290841902faf680c86c891f6fa35b01e6b5 ok=True
input=399 k_exit=0 final_k=True k='cccxcix' candidate_py='cccxcix' canonical_py='cccxcix' output_sha256=2e0a0f04b8c2bcc72bcd41ff9d989202147befb1f80f2aca91f066bd134e4425 ok=True
input=400 k_exit=0 final_k=True k='cd' candidate_py='cd' canonical_py='cd' output_sha256=0e57cdd8c820219198a7fb0a2956ca098ab33971fd8628e882fc0ef7bde32343 ok=True
input=426 k_exit=0 final_k=True k='cdxxvi' candidate_py='cdxxvi' canonical_py='cdxxvi' output_sha256=822b969b52cdb0bdc43ecb5d5a2c4df06348bdf5ea49ddbc9c4afb4075729163 ok=True
input=499 k_exit=0 final_k=True k='cdxcix' candidate_py='cdxcix' canonical_py='cdxcix' output_sha256=71da6ecd5aaab9b4aaff0808802fd01d87005246179059b67fa0e83b4de33e3e ok=True
input=500 k_exit=0 final_k=True k='d' candidate_py='d' canonical_py='d' output_sha256=3946c56b95d4482c2c68ef2216da17c96f0d476c71b11a7cf8e12742c91b1077 ok=True
input=899 k_exit=0 final_k=True k='dcccxcix' candidate_py='dcccxcix' canonical_py='dcccxcix' output_sha256=dd01dffb0fca8e6a1d1f84115a9a3ec5bb3cb12549145016d75fdcf4760b7055 ok=True
input=900 k_exit=0 final_k=True k='cm' candidate_py='cm' canonical_py='cm' output_sha256=4791dee5fb0b61d81e52bc56d376b53b18c06f5110602096435a1714ea117f60 ok=True
input=944 k_exit=0 final_k=True k='cmxliv' candidate_py='cmxliv' canonical_py='cmxliv' output_sha256=3123ec837c86478582728cbd8229f4cb9d91b330ee6516924468960f97772621 ok=True
input=999 k_exit=0 final_k=True k='cmxcix' candidate_py='cmxcix' canonical_py='cmxcix' output_sha256=768539be7212c2f28f4075bf60d38d4e868ce8302e9bd637883a93230c5d0980 ok=True
input=1000 k_exit=0 final_k=True k='m' candidate_py='m' canonical_py='m' output_sha256=9d53358a3ddcc9a09d81d2b17c738385a3b7ad091a9cc093f77fc1b74aefde9f ok=True
definition=/tmp/audit-work/final-reconstruction/semantic-audit-kompiled cases=27 failures=0
EXIT_STATUS=0
