id	file	line	kind	rule_class	attributes	source_class	audit_decision	path_relevance	normalized_text
1	reference-semantics/semantics/assert.k	6	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	reference-semantics/semantics/assert.k	8	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	reference-semantics/semantics/assert.k	13	rule	operational	priority(40)	trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	reference-semantics/semantics/bool.k	8	rule	equational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	reference-semantics/semantics/bool.k	10	rule	equational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	reference-semantics/semantics/bool.k	11	rule	equational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	reference-semantics/semantics/bool.k	16	context	n/a		trusted-supplied-semantics	DECLARATION_TRUSTED_BASELINE	see-review-used-construct-map	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	reference-semantics/semantics/bool.k	17	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	reference-semantics/semantics/bool.k	18	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
10	reference-semantics/semantics/bool.k	20	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
11	reference-semantics/semantics/bool.k	22	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
12	reference-semantics/semantics/bool.k	24	rule	operational		trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
13	reference-semantics/semantics/bool.k	29	rule	operational	priority(40)	trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	reference-semantics/semantics/bool.k	31	rule	operational	priority(40)	trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
15	reference-semantics/semantics/bool.k	35	rule	operational	priority(40)	trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
16	reference-semantics/semantics/bool.k	39	rule	operational	priority(40)	trusted-supplied-semantics	ACCEPTED_TRUSTED_BASELINE	see-review-used-construct-map	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
